price,score,n_events,unique_days,unique_weeks,unique_months,span_days,first_event,last_event,mean_strength,median_strength,max_strength,mean_reaction,n_scales,n_sources,mean_rel_volume,decayed_touches,c__scale_weight,c__n_pairs,c_touch,c_reaction,c_temporal,c_scale,c_volume,c_recency,c_confluence
173215.0000,78.1000,15,9,6,3,69.9583,2026-06-01 10:30:00,2026-08-10 09:30:00,2.7254,2.7244,3.9270,3650.3333,3,1,2.6607,12.8010,3.1000,3.0000,0.5354,0.7171,0.4318,0.5620,0.6633,0.9380,0.4114
172970.0000,71.2000,9,7,4,3,69.9493,2026-06-01 11:50:00,2026-08-10 10:37:00,2.8255,2.5829,4.0000,3566.6667,3,1,2.2630,7.6918,2.5000,3.0000,0.3873,0.7804,0.3891,0.3759,0.3873,0.8625,0.4114
172725.0000,75.3000,13,7,6,3,70.1451,2026-06-01 13:12:00,2026-08-10 16:41:00,2.6823,2.7107,3.4636,3154.2308,3,1,2.7977,11.3775,3.1000,3.0000,0.4962,0.6380,0.3901,0.5620,0.7316,0.9243,0.4114
172480.0000,77.3000,8,7,5,3,57.0042,2026-06-15 09:00:00,2026-08-11 09:06:00,3.1949,3.5860,4.0000,4758.1250,3,1,3.3855,7.3050,2.5000,3.0000,0.3519,0.9266,0.3775,0.3759,0.9165,0.8567,0.4114
172235.0000,84.5000,15,9,6,3,68.1437,2026-06-03 09:33:00,2026-08-10 13:00:00,2.6264,2.7944,3.4495,2588.3333,4,1,2.9913,12.8347,4.3000,4.0000,0.5354,0.6373,0.4282,0.7759,0.8278,0.9413,0.7873
171745.0000,61.1000,11,6,4,2,68.9917,2026-06-03 09:15:00,2026-08-11 09:03:00,2.2718,2.0619,3.1944,2181.3636,3,1,4.3157,9.3449,2.5000,3.0000,0.4354,0.1358,0.3132,0.3759,0.9848,0.8949,0.4114
171500.0000,59.4000,7,6,5,2,67.0618,2026-06-05 09:01:00,2026-08-11 10:30:00,2.6743,2.5829,3.5914,2545.0000,2,1,2.7846,5.9556,1.3000,2.0000,0.3000,0.6076,0.3107,0.0899,0.7190,0.8025,0.1329
171010.0000,47.5000,7,4,4,1,16.9472,2026-06-05 10:36:00,2026-06-22 09:20:00,2.4022,2.3362,3.3860,2067.1429,2,1,2.2739,5.6908,1.3000,2.0000,0.3000,0.3275,0.1546,0.0899,0.3975,0.7471,0.1329
170520.0000,45.7000,4,2,2,1,6.9486,2026-06-09 10:34:00,2026-06-16 09:20:00,2.5104,2.5976,3.1944,2465.0000,2,1,2.6238,3.2309,1.3000,2.0000,0.1519,0.4794,0.0718,0.0899,0.6430,0.5177,0.1329
170275.0000,69.7000,7,6,4,1,16.9021,2026-06-05 11:24:00,2026-06-22 09:03:00,2.4922,2.7380,3.3430,1567.8571,4,1,2.4037,5.6637,4.3000,4.0000,0.3000,0.5373,0.2099,0.7759,0.4886,0.7428,0.7873
170030.0000,76.6000,11,6,3,1,11.1146,2026-06-05 10:29:00,2026-06-16 13:14:00,2.5464,2.2634,4.0000,1738.1818,4,1,2.7239,8.8870,5.0000,4.0000,0.4354,0.5222,0.2049,0.9595,0.6962,0.8567,0.7873
