lado;j;i;dt;dia;score;cDiv;cAbs;cClx;cFlip;cCmp;cPav;y;bars
-1;142;143;2026-06-29 10:39:33.337;2026-06-29;32,72903111820361;0,6;0,0;0,3301967288834309;0,7601301114537397;0,0;0,7823129251700681;0,0;1,0
1;143;144;2026-06-29 10:39:38.009;2026-06-29;17,004183866594136;0,35;0,0;0,1000431890488585;0,675633020141011;0,5252888195128381;0,0;1,0;3,0
1;144;145;2026-06-29 10:39:53.823;2026-06-29;26,789570553505953;0,35;0,0;0,30111197911272425;0,2608763033030232;0,0;0,9006211180124223;1,0;3,0
-1;155;156;2026-06-29 10:44:12.778;2026-06-29;14,223037923020755;0,0;0,0;0,4741012641006918;0,6509925304899147;0,0;0,0;0,0;3,0
-1;156;157;2026-06-29 10:44:47.504;2026-06-29;16,83616745976296;0,0;0,00348428148459754;0,27691673270298606;1,0;0,0;0,8441558441558441;0,0;1,0
1;158;159;2026-06-29 10:45:30.353;2026-06-29;36,28149130693119;0,35;0,2035479817966984;0,4147597254004577;1,0;0,0;1,0;1,0;9,0
-1;162;163;2026-06-29 10:47:57.311;2026-06-29;26,62011274428582;0,0;0,08904346501958063;0,4798008706265434;0,6828905482595892;0,0;1,0;0,0;1,0
1;164;165;2026-06-29 10:49:14.860;2026-06-29;39,516731552944016;0,35;0,23370356537168863;0,49747141395506;0,0;0,0;1,0;1,0;2,0
-1;165;166;2026-06-29 10:50:08.245;2026-06-29;36,60067424846911;0,35;0,1367810581532022;0,48103825982130183;0,0;0,0;1,0;0,0;2,0
-1;169;170;2026-06-29 10:51:12.754;2026-06-29;5,623933816491091;0,0;0,0;0,06952710038663894;0,907905106754334;0,35381208048919227;0,0;1,0;7,0
-1;170;171;2026-06-29 10:51:30.798;2026-06-29;31,80664397301731;0,6;0,0;0,2600144264297694;0,5783243331359205;0,0;0,9006211180124223;0,0;3,0
1;173;174;2026-06-29 10:54:15.694;2026-06-29;36,21448118444925;0,35;0,17607440422637008;0,4354207026263331;0,9877789309072793;0,0;1,0;0,0;1,0
-1;174;175;2026-06-29 10:54:22.648;2026-06-29;11,620832879669342;0,0;0,0;0,1416425897993634;0,6032130962902027;0,737155518568844;0,0;1,0;3,0
-1;175;176;2026-06-29 10:55:22.291;2026-06-29;28,565513463385113;0,35;0,0007588655097552799;0,32655139418804113;0,9838178761903268;0,0;1,0;1,0;3,0
1;183;184;2026-06-29 10:56:38.676;2026-06-29;14,034948960145773;0,0;0,0;0,20623380679340075;0,6085518376677658;0,7847934756343748;0,0;1,0;3,0
1;184;185;2026-06-29 10:56:51.355;2026-06-29;33,95091903893673;0,6;0,0;0,33149026196041687;0,5007217431171822;0,0;0,9006211180124223;1,0;3,0
1;191;192;2026-06-29 10:59:11.485;2026-06-29;21,024384858998484;0,35;0,0;0,4091461619666161;0,3719578802024015;0,0;0,0;0,0;3,0
-1;191;192;2026-06-29 10:59:11.485;2026-06-29;33,36518837672586;0,35;0,09363214070909513;0,4091461619666161;0,0;0,0;1,0;1,0;6,0
1;192;193;2026-06-29 10:59:42.001;2026-06-29;34,0089178051623;0,35;0,17619625750515233;0,361800378917783;0,545046571806699;0,0;1,0;0,0;1,0
-1;194;195;2026-06-29 11:00:16.534;2026-06-29;36,71874652796579;0,6;0,0;0,39062488426552644;0,9317266055734575;0,0;1,0;0,0;1,0
1;196;197;2026-06-29 11:01:00.942;2026-06-29;30,952057222050772;0,0;0,2934284709747024;0,45387818158944027;0,0;0,0;1,0;0,0;2,0
-1;197;198;2026-06-29 11:01:32.331;2026-06-29;32,411328525493516;0,35;0,05896488212736426;0,4062402157436471;1,0;0,0;1,0;1,0;7,0
1;200;201;2026-06-29 11:01:44.688;2026-06-29;10,532517250232466;0,0;0,0;0,16244636658203362;0,57709088440174;0,5659126252771457;0,0;0,0;3,0
1;201;202;2026-06-29 11:02:00.548;2026-06-29;32,42985552420611;0,6;0,0;0,2807881448027296;0,13955838946182528;0,0;0,9006211180124223;0,0;1,0
-1;202;203;2026-06-29 11:03:41.280;2026-06-29;18,89260079847047;0,35;0,0;0,338086693282349;0,0;0,0;0,0;1,0;5,0
-1;203;204;2026-06-29 11:04:08.060;2026-06-29;36,57357537005111;0,35;0,31284489632205204;0,33341509873332686;0,6315242614078311;0,0;1,0;1,0;5,0
1;206;207;2026-06-29 11:06:28.090;2026-06-29;25,549511266528487;0,0;0,07587932938897768;0,4550842677268016;0,0;0,0;1,0;0,0;2,0
-1;207;208;2026-06-29 11:06:40.970;2026-06-29;33,15581913626386;0,35;0,1955399143878766;0,3331170584252473;0,5447199714462437;0,0;0,9523809523809526;1,0;3,0
1;211;212;2026-06-29 11:07:40.281;2026-06-29;3,0406589027538358;0,0;0,0;0,03647969223631502;0,9102780222494631;0,19462681356643854;0,0;1,0;3,0
1;212;213;2026-06-29 11:08:03.199;2026-06-29;31,645590008933915;0,6;0,0;0,25464596096032305;0,9712775660391104;0,0;0,9006211180124223;1,0;3,0
-1;218;219;2026-06-29 11:10:05.021;2026-06-29;8,005068379410933;0,0;0,0;0,10606166471374903;0,6037886659278748;0,4823218437998461;0,0;1,0;3,0
-1;219;220;2026-06-29 11:10:23.821;2026-06-29;32,69690002296178;0,6;0,07044995682859471;0,24980308868961565;0,7278349241236804;0,0;0,8441558441558441;1,0;7,0
1;222;223;2026-06-29 11:11:03.821;2026-06-29;17,770181748247467;0,35;0,0;0,13123992233992823;0,6035845159532958;0,508298407804962;0,0;0,0;3,0
1;223;224;2026-06-29 11:11:15.484;2026-06-29;25,709808022214517;0,35;0,0;0,2839416526885358;0,3541930138191689;0,0;0,8441558441558441;0,0;1,0
-1;225;226;2026-06-29 11:12:05.114;2026-06-29;42,20573759913021;0,35;0,3382295039652082;0,5;1,0;0,0;1,0;0,0;3,0
1;228;229;2026-06-29 11:13:34.162;2026-06-29;22,89732878248455;0,0;0,016257075777006837;0,41636339626864605;0,39726099647129715;0,0;1,0;0,0;3,0
-1;230;231;2026-06-29 11:14:36.722;2026-06-29;6,1857110744842085;0,0;0,0;0,0014743835333286108;0,6396551783108073;0,6141479568484352;0,0;0,0;3,0
-1;231;232;2026-06-29 11:15:00.188;2026-06-29;15,989163893045605;0,0;0,020091297836992685;0,23484410018541152;1,0;0,0;0,8441558441558441;0,0;1,0
1;233;234;2026-06-29 11:15:24.869;2026-06-29;37,31144581924011;0,35;0,22002857546566862;0,4353577144199467;0,5721261001936955;0,0;1,0;1,0;3,0
-1;240;241;2026-06-29 11:16:51.443;2026-06-29;26,08243035279587;0,0;0,23464974328287996;0,340539559024129;1,0;0,0;1,0;0,0;3,0
1;243;244;2026-06-29 11:17:28.146;2026-06-29;34,29901921876503;0,35;0,20317516884015419;0,34898799992537255;1,0;0,0;1,0;0,0;3,0
-1;245;246;2026-06-29 11:17:41.701;2026-06-29;4,687504472805494;0,0;0,0;0,05666888144918325;0,761829105909875;0,2987438029329996;0,0;0,0;5,0
-1;246;247;2026-06-29 11:17:59.304;2026-06-29;23,67636927791096;0,35;0,0;0,21568108729058524;1,0;0,0014378217634967696;0,8441558441558441;0,0;3,0
1;248;249;2026-06-29 11:18:25.916;2026-06-29;13,168871527479089;0,0;0,0;0,43896238424930295;0,48114671853520197;0,0;0,0;1,0;3,0
1;249;250;2026-06-29 11:18:46.237;2026-06-29;16,521072337534505;0,0;0,06001569481213289;0,21930405085575796;0,37171017244224375;0,0;0,8441558441558441;1,0;3,0
-1;256;257;2026-06-29 11:22:16.943;2026-06-29;23,51212045387983;0,0;0,053931398551118656;0,40546118300339545;0,4420768788571386;0,0;1,0;0,0;1,0
1;258;259;2026-06-29 11:24:34.816;2026-06-29;38,968476965120324;0,35;0,20873907860481294;0,5;0,23673066006897822;0,0;1,0;1,0;3,0
-1;264;265;2026-06-29 11:29:05.238;2026-06-29;36,312986715018184;0,6;0,0;0,3770995571672727;1,0;0,0;1,0;1,0;11,0
1;268;269;2026-06-29 11:30:58.270;2026-06-29;33,79083350332094;0,35;0,07166792364163743;0,44163784707600007;0,4717908095151358;0,0;1,0;0,0;1,0
-1;269;270;2026-06-29 11:31:30.641;2026-06-29;14,182032766159002;0,35;0,0;0,16705380300485917;0,6369884226531708;0,042041867601322766;0,0;0,0;3,0
-1;270;271;2026-06-29 11:32:02.410;2026-06-29;26,227608713634226;0,35;0,0;0,26512663966082334;0,15226515618899514;0,0;0,9523809523809526;0,0;1,0
1;271;272;2026-06-29 11:34:16.596;2026-06-29;5,835758066429864;0,0;0,0;0,19340628740535162;0,4890355187509134;0,0033569444269314617;0,0;0,0;3,0
1;272;273;2026-06-29 11:34:40.023;2026-06-29;21,630541547312944;0,0;0,12095763314396961;0,2868866906237902;0,40011761951797525;0,0;1,0;0,0;1,0
-1;273;274;2026-06-29 11:36:03.701;2026-06-29;1,784502843314229;0,0;0,0;0,01663795156234077;0,5289752254741398;0,12853642964440057;0,0;1,0;3,0
-1;274;275;2026-06-29 11:37:30.887;2026-06-29;15,78669553383532;0,0;0,010634175315411665;0,21713024047278007;0,5550490405010992;7,227566424041526e-05;0,9006211180124223;1,0;3,0
1;280;281;2026-06-29 11:40:05.481;2026-06-29;5,532349526316887;0,0;0,0;0,04754612668589102;0,877531688184586;0,41059657257401566;0,0;0,0;5,0
1;281;282;2026-06-29 11:40:33.155;2026-06-29;31,010797743013114;0,6;0,0;0,23348621876296308;0,3590370809084508;0,0;0,9006211180124223;0,0;3,0
-1;283;284;2026-06-29 11:44:38.533;2026-06-29;13,637582647288022;0,35;0,0;0,16058639174485004;0,5138976912953165;0,006999089494252301;0,0;1,0;5,0
-1;284;285;2026-06-29 11:45:25.259;2026-06-29;24,54672341203867;0,35;0,05052555300052146;0,20171052042061466;0,7178227910653033;0,00407105328487521;0,8441558441558441;1,0;7,0
1;287;288;2026-06-29 11:52:45.486;2026-06-29;27,71247975555427;0,0;0,14499023438650854;0,4695907965297186;0,0;0,0;1,0;0,0;4,0
-1;288;289;2026-06-29 11:55:02.118;2026-06-29;31,707642036169144;0,35;0,20800596407525201;0,27445611368261075;0,16630230598439383;0,0;0,9523809523809526;0,0;1,0
1;290;291;2026-06-29 12:00:02.729;2026-06-29;36,38874728760373;0,6;0,0503430663173803;0,33767235432230724;0,0;0,0;1,0;0,0;2,0
-1;291;292;2026-06-29 12:01:50.834;2026-06-29;36,850637697578364;0,35;0,1470861561050702;0,4807827931650537;1,0;0,0;1,0;0,0;9,0
1;294;295;2026-06-29 12:02:23.960;2026-06-29;7,576845643851778;0,0;0,0;0,08994710110954708;0,7050203740704664;0,4878432610565365;0,0;0,0;3,0
1;295;296;2026-06-29 12:05:00.463;2026-06-29;29,333064366168152;0,6;0,0;0,1905896646138065;0,3672639653877893;0,017381598619551054;0,8441558441558441;0,0;1,0
-1;296;297;2026-06-29 12:07:54.769;2026-06-29;14,51393087217633;0,35;0,0;0,186564534990994;0,4960281830110927;0,016699482244651016;0,0;0,0;3,0
-1;297;298;2026-06-29 12:11:05.425;2026-06-29;31,369643785806126;0,35;0,1546344454153533;0,2917927550140764;0,4333076835840422;0,0;1,0;0,0;1,0
1;298;299;2026-06-29 12:12:41.677;2026-06-29;1,6464586379818797;0,0;0,0;0,0;0,6117476745694647;0,16464586379818796;0,0;0,0;5,0
1;299;300;2026-06-29 12:14:23.371;2026-06-29;42,317067221353156;1,0;0,0;0,2597752565847876;0,5823438939674651;0,0;0,9523809523809526;0,0;3,0
-1;301;302;2026-06-29 12:15:47.450;2026-06-29;4,818950587243563;0,0;0,0;0,029476629565133618;0,8006523037331965;0,3934651700289555;0,0;1,0;3,0
-1;302;303;2026-06-29 12:17:01.488;2026-06-29;30,820424746238793;0,6;0,0;0,22714045220381893;0,984046368007514;0,0;0,9006211180124223;1,0;7,0
1;305;306;2026-06-29 12:21:49.146;2026-06-29;2,782517076823316;0,0;0,0;0,05232225423190541;0,7327081897820897;0,12128494498661536;0,0;0,0;3,0
1;306;307;2026-06-29 12:23:32.052;2026-06-29;34,047445996952476;0,6;0,0;0,30158153323174913;0,2007339959286009;0,0;1,0;0,0;1,0
-1;307;308;2026-06-29 12:27:43.625;2026-06-29;14,680076905979123;0,35;0,0;0,19646210763486516;0,3513871878753152;0,0036213676933166644;0,0;1,0;3,0
-1;308;309;2026-06-29 12:31:28.095;2026-06-29;34,77553222684475;0,35;0,27453038881478786;0,3054090835491685;0,1671017759761201;0,0;1,0;1,0;3,0
