dt;o;h;l;c;agb;ags;dur;qt;trd;dirn;is_rev;seq_before;wick;wick_net;trav;brk;newday;sujo;ok;dur_eff;agtot;unk_share;avg_trd;hora;elig;cost_nz;dur_nz;trd_nz;size_nz;pace_nz;delta_cl;delta_raw;unk_nz;wick_net_n;seq_len;rev_dens;eff_ratio;pace_reg;pos_rng;day_pos;hora_dec;cost_seq;dur_seq;delta_seq;wick_seq;ref_ok;dpos_mid;dpos_open;dpos_ext;y;bars
2026-06-29 10:31:29.744;175600,0;175675,0;175550,0;175550,0;11871,0;12855,0;0,3;34251,0;10246,0;-1;1;4;15,0;5,0;25,0;0;0;0;1;0,3;24726,0;0,2780940702461242;3,3428655084911183;10,516666666666667;1;-0,10200583870768515;-0,49874686716791977;-0,1347032879332659;0,013494710435704728;0,11693392257630571;0,03979616597913128;0,028729088201804327;-0,039449573449034395;0,5;4,0;0,3;0,3;0,18602459596928564;0,3235294117647059;0,37258687258687256;10,516666666666667;-0,5823871262964024;-0,8999999999999999;0,28160639777468705;0,425;1,0;0,37258687258687256;0,19305019305019305;0,3725868725868726;1,0;2,0
2026-06-29 10:39:29.287;175200,0;175255,0;175150,0;175150,0;1727,0;3707,0;0,07;7256,0;2313,0;-1;1;4;11,0;1,0;21,0;0;0;0;1;0,07;5434,0;0,25110253583241454;3,137051448335495;10,65;1;-0,6234429447815152;-0,8227848101265821;-0,6682705753275344;-0,028785859360901726;0,6247693172216904;0,3643724696356275;0,272877618522602;-0,08439064429383261;0,1;4,0;0,25;0,375;0,28582626745801404;0,34684684684684686;0,4;10,65;-0,18960157648241013;-0,7482517482517483;0,26500795602488064;0,725;1,0;0,4;0,38235294117647056;0,4;0,0;3,0
2026-06-30 10:04:27.171;174400,0;174465,0;174350,0;174350,0;4090,0;4548,0;0,05;10831,0;3770,0;-1;1;5;13,0;3,0;23,0;0;0;0;1;0,05;8638,0;0,20247437909703628;2,872944297082228;10,066666666666666;1;-0,44272672835763255;-0,8641304347826086;-0,4951236578759705;-0,001434065173587475;0,463011956051032;0,053021532762213476;0,042286030837411136;-0,16238016076552358;0,3;5,0;0,3;0,275;-0,2295777956511661;0,2894736842105263;0,39054726368159204;10,066666666666666;-0,04505412135397237;-0,44736842105263147;0,2993502025839003;1,02;1,0;0,39054726368159204;0,746268656716418;0,3905472636815921;1,0;2,0
2026-06-30 10:09:38.999;174150,0;174245,0;174100,0;174100,0;11311,0;12138,0;0,35;32487,0;11703,0;-1;1;5;19,0;9,0;29,0;0;0;0;1;0,35;23449,0;0,2782035891279589;2,7759548833632404;10,15;1;-0,07304332247835339;-0,33460076045627385;-0,0011500899374598899;-0,021723306172722976;-0,02460845794948098;0,03526802848735554;0,02545633638070613;-0,002357923370895421;0,9;5,0;0,225;0,275;0,06404511931306064;0,22916666666666666;0,3869565217391304;10,15;0,4415119473815669;0,5609756097560975;0,3647802914703996;0,58;1,0;0,3869565217391304;0,7608695652173914;0,3869565217391304;0,0;1,0
2026-06-30 10:20:14.435;173900,0;173970,0;173850,0;173850,0;6837,0;8899,0;0,33;22709,0;8432,0;-1;1;7;14,0;4,0;24,0;0;0;0;1;0,33;15736,0;0,30705887533577;2,6931925996204935;10,333333333333334;1;-0,11339820146431784;-0,2048192771084337;-0,11014724466993295;-0,04331911476404845;-0,22732277105269252;0,13103711235383833;0,09080100400722181;0,06204088978718247;0,4;7,0;0,3;0,075;0,062311691216431396;0,05405405405405406;0,37404580152671757;10,333333333333334;0,27557292774222936;0,5454545454545455;0,2578328046659163;1,1285714285714286;1,0;0,37404580152671757;0,7633587786259542;0,3740458015267175;1,0;2,0
2026-06-30 10:23:09.180;173900,0;173970,0;173850,0;173850,0;8972,0;9189,0;0,6;24369,0;8218,0;-1;1;3;14,0;4,0;24,0;0;0;0;1;0,6;18161,0;0,25474988715170915;2,965320029204186;10,383333333333333;1;-0,06936881861093228;0,12254443405051452;-0,11300114949352125;0,0054310658956263575;-0,4922398194474841;0,011948681240019823;0,00890475604251303;-0,02623764852471133;0,4;3,0;0,3;0,0;0,038914200451618516;0,05405405405405406;0,37404580152671757;10,383333333333333;0,2211634895905603;0,43478260869565216;0,06790163551098352;1,4333333333333333;1,0;0,37404580152671757;0,7633587786259542;0,3740458015267175;1,0;2,0
2026-06-30 10:24:50.094;173800,0;173855,0;173750,0;173750,0;4229,0;6265,0;0,23;14645,0;4377,0;-1;1;3;11,0;1,0;21,0;0;0;0;1;0,23;10494,0;0,2834414475930352;3,345899017591958;10,4;1;-0,19509855452177546;-0,23841059602649006;-0,3384620035064385;0,06439358349184832;-0,15512678785363243;0,19401562797789212;0,1390235575281666;0,041160872618371244;0,1;3,0;0,275;0,15;0,01849223196030679;0,1891891891891892;0,4122137404580153;10,4;0,36912409069638835;0,28571428571428575;0,37606863985679456;0,7333333333333333;1,0;0,4122137404580153;0,8015267175572519;0,4122137404580153;0,0;3,0
2026-06-30 10:27:13.167;173850,0;173915,0;173800,0;173800,0;8726,0;11665,0;0,58;27537,0;8578,0;-1;1;3;13,0;3,0;23,0;0;0;0;1;0,58;20391,0;0,2595053927443077;3,2101888552110047;10,45;1;0,08252864167679318;0,20082815734989637;0,004652579121661034;0,03807980419573867;-0,5072098681285542;0,14413221519297728;0,10672912808221666;0,0009983077790959576;0,3;3,0;0,275;0,075;0,017171497973441308;-0,0045045045045045045;0,3931297709923664;10,45;0,0773422145299137;-0,20353982300884957;0,24923976879686158;1,1666666666666665;1,0;0,3931297709923664;0,7824427480916031;0,39312977099236646;1,0;2,0
2026-06-30 10:31:34.970;173800,0;173860,0;173750,0;173750,0;4106,0;6151,0;0,23;12956,0;3898,0;-1;1;6;12,0;2,0;22,0;0;0;0;1;0,23;10257,0;0,20832046928064218;3,323755772190867;10,516666666666667;1;-0,276304984275583;-0,2698412698412699;-0,3855224162935873;0,053644221719027885;-0,03665249928107317;0,199376035877937;0,15784192652053103;-0,10632516756803514;0,2;6,0;0,225;0,125;0,005194601785191818;-0,06;0,3951310861423221;10,516666666666667;0,11582140550982874;0,44230769230769224;0,1512794815260239;1,0666666666666667;1,0;0,3951310861423221;0,7865168539325843;0,39513108614232206;1,0;2,0
2026-06-30 10:32:55.183;173800,0;173855,0;173750,0;173750,0;1336,0;3705,0;0,08;6412,0;2351,0;-1;1;3;11,0;1,0;21,0;0;0;0;1;0,08;5041,0;0,21381784154709918;2,7273500638026373;10,533333333333333;1;-0,5332009364529132;-0,6659707724425887;-0,5694158909528803;-0,048142909105538235;0,43728658879429144;0,4699464391985717;0,36946350592638805;-0,08653101184071071;0,1;3,0;0,25;0,0;0,038291282993059284;-0,06;0,3951310861423221;10,533333333333333;-0,0223831404017874;-0,4222222222222222;0,11198697962625252;1,0333333333333334;1,0;0,3951310861423221;0,7865168539325843;0,39513108614232206;1,0;2,0
