dt;o;h;l;c;agb;ags;dur;qt;trd;dirn;is_rev;seq_before;wick;wick_net;trav;brk;newday;sujo;ok;dur_eff;agtot;unk_share;avg_trd;hora;dpos;minac;elig_ntsl;sinal;y;bars
2026-07-01 11:19:18.383;174300,0;174350,0;174215,0;174350,0;9854,0;8914,0;0,63;25771,0;7703,0;1;1;3;17,0;7,0;27,0;0;0;0;1;0,63;18768,0;0,2717395522098483;3,3455796442944306;11,316666666666666;0,42;134,49999999999991;1;1;0,0;3,0
2026-07-01 11:26:09.150;173950,0;174000,0;173880,0;174000,0;8496,0;6216,0;0,4;19709,0;6178,0;1;1;9;14,0;4,0;24,0;0;0;0;1;0,4;14712,0;0,25353899233852556;3,1901910003237295;11,433333333333334;0,28;141,24999999999991;1;1;0,0;3,0
2026-07-01 11:44:44.471;173900,0;173950,0;173835,0;173950,0;21875,0;18647,0;2,07;59914,0;17048,0;1;1;5;13,0;3,0;23,0;0;0;0;1;2,07;40522,0;0,3236639182828721;3,5144298451431255;11,733333333333333;0,26;159,61999999999992;1;1;0,0;1,0
2026-07-01 12:51:00.697;174300,0;174350,0;174245,0;174350,0;3425,0;2026,0;0,23;7897,0;2321,0;1;1;3;11,0;1,0;21,0;0;0;0;1;0,23;5451,0;0,30973787514245915;3,4024127531236537;12,85;0,42;225,30999999999992;1;1;1,0;3,0
2026-07-01 12:58:51.219;174300,0;174350,0;174210,0;174350,0;17395,0;16288,0;1,92;51099,0;15518,0;1;1;4;18,0;8,0;28,0;0;0;0;1;1,92;33683,0;0,3408285876435938;3,2928856811444773;12,966666666666667;0,42;233,0699999999999;1;1;1,0;9,0
2026-07-01 13:55:38.834;174350,0;174400,0;174260,0;174400,0;34923,0;25913,0;4,73;91163,0;26093,0;1;1;5;18,0;8,0;28,0;0;0;0;1;4,73;60836,0;0,3326678586707326;3,4937722760893726;13,916666666666666;0,40733590733590735;289,7099999999998;1;1;1,0;3,0
2026-07-01 14:18:04.638;174500,0;174550,0;174435,0;174550,0;12035,0;8881,0;4,23;31773,0;10009,0;1;1;3;13,0;3,0;23,0;0;0;0;1;4,23;20916,0;0,34170522141440846;3,174443001298831;14,3;0,4487666034155598;312,08999999999986;1;1;0,0;3,0
2026-07-01 14:32:17.016;174450,0;174500,0;174375,0;174500,0;17136,0;10103,0;2,27;37878,0;11055,0;1;1;3;15,0;5,0;25,0;0;0;0;1;2,27;27239,0;0,28087544220919797;3,4263229308005427;14,533333333333333;0,4297912713472486;326,2499999999999;1;1;0,0;5,0
2026-07-01 14:51:05.863;174100,0;174150,0;174005,0;174150,0;38907,0;27578,0;5,75;98396,0;28104,0;1;1;10;19,0;9,0;29,0;0;0;0;1;5,75;66485,0;0,3243119639009716;3,501138627953316;14,85;0,2969639468690702;344,99999999999983;1;1;0,0;1,0
2026-07-01 15:11:28.361;174000,0;174050,0;173915,0;174050,0;21105,0;14513,0;1,92;52314,0;15583,0;1;1;6;17,0;7,0;27,0;0;0;0;1;1,92;35618,0;0,31914974958902015;3,3571199383944044;15,183333333333334;0,25901328273244784;365,2999999999997;1;1;0,0;1,0
2026-07-01 16:13:21.699;174300,0;174350,0;174205,0;174350,0;16698,0;11321,0;1,88;39611,0;11106,0;1;1;5;19,0;9,0;29,0;0;0;0;1;1,88;28019,0;0,2926459821766681;3,5666306500990457;16,216666666666665;0,372865275142315;426,90999999999974;1;1;1,0;3,0
2026-07-01 16:34:45.509;174250,0;174300,0;174185,0;174300,0;17298,0;10576,0;2,92;43348,0;11941,0;1;1;5;13,0;3,0;23,0;0;0;0;1;2,92;27874,0;0,35697148657377503;3,6301817268235492;16,566666666666666;0,3538899430740038;448,2199999999997;1;1;1,0;3,0
2026-07-01 16:57:15.262;174250,0;174300,0;174190,0;174300,0;10040,0;5499,0;1,98;22377,0;6360,0;1;1;4;12,0;2,0;22,0;0;0;0;1;1,98;15539,0;0,3055816239889172;3,5183962264150943;16,95;0,3538899430740038;470,6899999999997;1;1;0,0;1,0
2026-07-01 17:21:41.740;174250,0;174300,0;174190,0;174300,0;15272,0;8051,0;8,35;35465,0;9607,0;1;1;3;12,0;2,0;22,0;0;0;0;1;8,35;23323,0;0,3423657126744678;3,6915790569376496;17,35;0,3538899430740038;495,06999999999977;1;1;1,0;3,0
2026-07-02 10:40:17.711;176400,0;176450,0;176330,0;176450,0;7290,0;5013,0;0,13;16725,0;4874,0;1;1;3;14,0;4,0;24,0;0;0;0;1;0,13;12303,0;0,2643946188340807;3,431473122691834;10,666666666666666;0,42531876138433516;96,37999999999984;1;1;1,0;5,0
