close_time,pattern,side,close,R,br0,br1,br2,wick0,openpos0,run_prev,aggdn0,aggdn1,daggdn,diverg0,aggt0,aggt_rel0,aggt_ratio01,agg_per_R,dur0,dur_rel0,dur_rel50,dur_ratio01,intens0,intens_rel,regime_dur,regime_aggt,hour,dow
2025-11-04 20:39:41,P1,1,3935.62,3.27,0.458716,0.470948,1.0,0.541284,0.541284,4,-0.110266,-0.044634,-0.065632,-0.110266,6.267201,0.652201,0.499525,160.856269,4.064057,0.598428,0.47127,0.444218,2.321819,1.280758,4.570584,6.693943,20,2
2025-11-04 21:14:21,P1,-1,3941.02,3.27,0.370031,0.975535,0.993884,0.629969,0.370031,2,0.003831,-0.096979,0.100811,0.003831,6.664409,1.264943,1.244833,239.449541,4.642707,1.229905,1.00415,1.021843,2.153491,1.012938,4.437982,6.429719,21,2
2025-11-04 21:47:34,P2,1,3938.73,3.27,0.926606,0.923547,0.351682,0.073394,0.073394,3,-0.016749,-0.076364,0.059615,-0.016749,6.923629,1.117226,3.690909,310.397554,5.484378,1.515394,2.353601,4.930107,1.654592,0.693591,5.070839,6.812895,21,2
2025-11-04 22:06:16,P1,1,3934.57,3.27,0.385321,1.0,0.798165,0.614679,0.614679,2,-0.011561,-0.048101,0.036541,-0.011561,6.946014,1.085774,2.627848,317.431193,4.996665,0.928058,1.435408,2.598497,2.087548,1.160773,5.070839,6.863803,22,2
2025-11-04 22:33:53,P2,-1,3936.31,3.27,0.948012,0.892966,0.40367,0.051988,0.948012,3,0.126691,-0.012113,0.138804,0.126691,6.70196,0.861229,1.094213,248.623853,5.335165,1.005644,2.017586,1.171159,1.59674,0.868089,5.329564,6.851185,22,2
2025-11-05 01:08:24,P2,1,3936.95,3.27,0.819572,1.0,0.691131,0.180428,0.180428,2,0.125,-0.192661,0.317661,0.125,6.070738,0.389716,3.963303,132.110092,4.353023,0.295981,0.368664,6.106264,1.891813,1.22151,5.561383,7.011665,1,3
2025-11-05 01:50:47,P1,1,3934.11,3.27,0.091743,0.480122,0.379205,0.908257,0.908257,2,0.086131,0.008529,0.077603,0.086131,6.530878,0.686717,0.730277,209.480122,4.772513,0.401258,0.476608,0.515043,1.92336,1.507097,5.680587,6.906254,1,3
2025-11-05 01:54:47,P2,-1,3934.56,3.27,0.862385,1.0,0.091743,0.137615,0.862385,2,-0.026772,-0.145773,0.119001,-0.026772,6.455199,0.699339,0.925656,194.189602,4.719186,0.483809,0.471173,0.865146,1.904605,1.414062,5.440635,6.812345,1,3
2025-11-05 02:06:20,P1,-1,3939.75,3.27,0.40367,0.865443,0.568807,0.59633,0.40367,3,-0.026874,-0.082774,0.0559,-0.026874,6.562444,0.957995,0.790828,216.207951,4.579555,0.785572,0.424768,0.931529,2.119699,1.2916,4.818696,6.605298,2,3
2025-11-05 02:13:09,P2,1,3938.03,3.27,0.788991,0.776758,0.807339,0.211009,0.211009,2,-0.093023,-0.117196,0.024173,-0.093023,5.556828,0.31637,0.282585,78.899083,3.848529,0.328157,0.220699,0.237479,1.88979,1.138703,4.94837,6.705027,2,3
