Data;tipo;dir;preco_virada;bricks_anteriores;bricks_novos;cont_apos_2;len_seq;next_len;price_move_seq;Quantity;Trades
2026-06-23 09:06:20.150;Pivô de Baixa → Alta (compra);1;171550;12;7;5;7;1;300;24264;4070
2026-06-23 09:06:45.988;Pivô de Baixa → Alta (compra);1;171850;1;2;0;2;3;50;8748;1609
2026-06-23 09:06:51.227;Pivô de Alta → Baixa (venda);-1;171800;2;3;1;3;8;100;14361;2749
2026-06-23 09:07:09.001;Pivô de Baixa → Alta (compra);1;171800;3;8;6;8;7;350;29256;4672
2026-06-23 09:08:59.511;Pivô de Alta → Baixa (venda);-1;172050;8;7;5;7;1;300;17934;2789
2026-06-23 09:12:06.244;Pivô de Baixa → Alta (compra);1;171850;1;2;0;2;2;50;37503;4956
2026-06-23 09:12:57.407;Pivô de Alta → Baixa (venda);-1;171800;2;2;0;2;1;50;12924;1817
2026-06-23 09:14:22.741;Pivô de Baixa → Alta (compra);1;171850;1;2;0;2;1;50;17894;2093
2026-06-23 09:15:09.249;Pivô de Baixa → Alta (compra);1;171900;1;2;0;2;1;50;17156;2014
2026-06-23 09:19:29.381;Pivô de Baixa → Alta (compra);1;171950;1;2;0;2;4;50;8118;872
2026-06-23 09:19:39.907;Pivô de Alta → Baixa (venda);-1;171900;2;4;2;4;2;150;75727;9040
2026-06-23 09:22:06.154;Pivô de Baixa → Alta (compra);1;171850;4;2;0;2;4;50;46435;6106
2026-06-23 09:23:49.065;Pivô de Alta → Baixa (venda);-1;171800;2;4;2;4;5;150;39224;5726
2026-06-23 09:30:02.141;Pivô de Baixa → Alta (compra);1;171750;4;5;3;5;3;200;20906;2240
2026-06-23 09:31:28.796;Pivô de Alta → Baixa (venda);-1;171850;5;3;1;3;1;100;67626;8727
2026-06-23 09:44:47.730;Pivô de Alta → Baixa (venda);-1;171750;1;6;4;6;4;250;52721;6408
2026-06-23 09:52:48.714;Pivô de Baixa → Alta (compra);1;171600;6;4;2;4;3;150;52988;5977
2026-06-23 09:54:17.311;Pivô de Alta → Baixa (venda);-1;171650;4;3;1;3;5;100;64823;9406
2026-06-23 09:57:08.965;Pivô de Baixa → Alta (compra);1;171650;3;5;3;5;3;200;79401;10882
2026-06-23 10:00:27.125;Pivô de Alta → Baixa (venda);-1;171750;5;3;1;3;1;100;14981;1533
2026-06-23 10:05:52.989;Pivô de Alta → Baixa (venda);-1;171650;1;5;3;5;1;200;10277;1366
2026-06-23 10:10:28.485;Pivô de Baixa → Alta (compra);1;171550;1;6;4;6;1;250;46470;4891
2026-06-23 10:13:21.836;Pivô de Baixa → Alta (compra);1;171800;1;7;5;7;8;300;13047;1340
2026-06-23 10:15:36.562;Pivô de Alta → Baixa (venda);-1;172000;7;8;6;8;6;350;30266;2597
2026-06-23 10:17:34.249;Pivô de Baixa → Alta (compra);1;171750;8;6;4;6;8;250;43426;4589
2026-06-23 10:19:58.708;Pivô de Alta → Baixa (venda);-1;171900;6;8;6;8;2;350;46453;5762
2026-06-23 10:21:53.359;Pivô de Baixa → Alta (compra);1;171650;8;2;0;2;1;50;79876;8885
2026-06-23 10:23:48.837;Pivô de Baixa → Alta (compra);1;171700;1;13;11;13;1;600;28995;3358
2026-06-23 10:28:48.582;Pivô de Baixa → Alta (compra);1;172300;1;6;4;6;3;250;61192;7374
2026-06-23 10:30:46.596;Pivô de Alta → Baixa (venda);-1;172450;6;3;1;3;8;100;11591;1133
2026-06-23 10:31:07.124;Pivô de Baixa → Alta (compra);1;172450;3;8;6;8;1;350;21834;2257
2026-06-23 10:32:11.554;Pivô de Baixa → Alta (compra);1;172800;1;4;2;4;3;150;5513;604
2026-06-23 10:32:54.983;Pivô de Alta → Baixa (venda);-1;172850;4;3;1;3;3;100;10492;1303
2026-06-23 10:33:36.045;Pivô de Baixa → Alta (compra);1;172850;3;3;1;3;1;100;36176;3422
2026-06-23 10:34:30.839;Pivô de Baixa → Alta (compra);1;172950;1;2;0;2;2;50;18502;1892
2026-06-23 10:34:46.781;Pivô de Alta → Baixa (venda);-1;172900;2;2;0;2;3;50;39755;4139
2026-06-23 10:36:00.321;Pivô de Baixa → Alta (compra);1;172950;2;3;1;3;2;100;20255;1922
2026-06-23 10:36:16.711;Pivô de Alta → Baixa (venda);-1;172950;3;2;0;2;2;50;43043;5006
2026-06-23 10:37:03.117;Pivô de Baixa → Alta (compra);1;173000;2;2;0;2;7;50;29501;2804
2026-06-23 10:37:27.956;Pivô de Alta → Baixa (venda);-1;172950;2;7;5;7;4;300;37015;4452
2026-06-23 10:39:10.191;Pivô de Baixa → Alta (compra);1;172750;7;4;2;4;3;150;31076;3561
2026-06-23 10:39:38.101;Pivô de Alta → Baixa (venda);-1;172800;4;3;1;3;1;100;27162;3105
2026-06-23 10:41:16.660;Pivô de Alta → Baixa (venda);-1;172700;1;4;2;4;3;150;14132;1914
2026-06-23 10:42:00.788;Pivô de Baixa → Alta (compra);1;172650;4;3;1;3;8;100;35569;3911
2026-06-23 10:43:01.491;Pivô de Alta → Baixa (venda);-1;172650;3;8;6;8;2;350;18417;2201
2026-06-23 10:44:45.680;Pivô de Baixa → Alta (compra);1;172400;8;2;0;2;2;50;8577;1136
2026-06-23 10:45:40.054;Pivô de Alta → Baixa (venda);-1;172350;2;2;0;2;1;50;10701;1123
2026-06-23 10:46:43.405;Pivô de Alta → Baixa (venda);-1;172300;1;2;0;2;2;50;18251;2124
2026-06-23 10:47:10.536;Pivô de Baixa → Alta (compra);1;172350;2;2;0;2;2;50;31677;2872
2026-06-23 10:47:27.880;Pivô de Alta → Baixa (venda);-1;172300;2;2;0;2;5;50;19098;1447
2026-06-23 10:48:01.581;Pivô de Baixa → Alta (compra);1;172350;2;5;3;5;1;200;13738;1532
2026-06-23 10:49:25.360;Pivô de Alta → Baixa (venda);-1;172450;1;2;0;2;1;50;17294;2101
2026-06-23 10:50:28.358;Pivô de Baixa → Alta (compra);1;172500;1;5;3;5;1;200;17284;1873
2026-06-23 10:54:32.533;Pivô de Baixa → Alta (compra);1;172700;1;4;2;4;2;150;10134;1095
2026-06-23 10:54:53.587;Pivô de Alta → Baixa (venda);-1;172750;4;2;0;2;2;50;23482;2213
2026-06-23 10:55:17.071;Pivô de Baixa → Alta (compra);1;172800;2;2;0;2;2;50;30349;3225
2026-06-23 10:55:53.771;Pivô de Alta → Baixa (venda);-1;172750;2;2;0;2;3;50;32015;3993
2026-06-23 10:56:34.645;Pivô de Baixa → Alta (compra);1;172800;2;3;1;3;1;100;9062;1134
2026-06-23 10:57:59.558;Pivô de Baixa → Alta (compra);1;172900;1;2;0;2;2;50;28912;3484
2026-06-23 10:59:04.051;Pivô de Alta → Baixa (venda);-1;172850;2;2;0;2;7;50;23442;2990
2026-06-23 11:00:51.206;Pivô de Baixa → Alta (compra);1;172900;2;7;5;7;1;300;7179;725
2026-06-23 11:01:52.145;Pivô de Baixa → Alta (compra);1;173200;1;5;3;5;3;200;66402;6923
2026-06-23 11:04:07.364;Pivô de Alta → Baixa (venda);-1;173300;5;3;1;3;3;100;12710;1392
2026-06-23 11:05:32.235;Pivô de Baixa → Alta (compra);1;173300;3;3;1;3;3;100;26223;4073
2026-06-23 11:07:41.833;Pivô de Alta → Baixa (venda);-1;173300;3;3;1;3;1;100;29276;3035
2026-06-23 11:10:09.674;Pivô de Alta → Baixa (venda);-1;173200;1;4;2;4;1;150;27685;2833
2026-06-23 11:13:34.557;Pivô de Alta → Baixa (venda);-1;173050;1;2;0;2;7;50;38311;4403
2026-06-23 11:15:03.481;Pivô de Baixa → Alta (compra);1;173100;2;7;5;7;1;300;24713;2481
2026-06-23 11:17:11.705;Pivô de Baixa → Alta (compra);1;173400;1;6;4;6;2;250;45283;5611
2026-06-23 11:20:38.347;Pivô de Alta → Baixa (venda);-1;173550;6;2;0;2;4;50;57637;6988
2026-06-23 11:21:56.561;Pivô de Baixa → Alta (compra);1;173600;2;4;2;4;6;150;36769;4420
2026-06-23 11:23:39.025;Pivô de Alta → Baixa (venda);-1;173650;4;6;4;6;6;250;38280;4774
