regra;qtd;taxa_sucesso;taxa_base;lift
vol_rel > 2.0;2561;0,7395548613822726;0,7047131834954713;1,0494409338476993
bricks_ant >= 4;4293;0,7391101793617517;0,7047131834954713;1,048809922493101
bricks_ant >= 5;3130;0,7370607028753994;0,7047131834954713;1,045901680481526
neg_rel > 1.5;4591;0,7283816162056197;0,7047131834954713;1,0335859087987396
vol_rel > 1.5;4114;0,7233835683033544;0,7047131834954713;1,0264935937699866
wick_tot > 0;11923;0,7046884173446281;0,7047131834954713;0,9999648564104897
vol > vol.median();5962;0,6880241529688024;0,7047131834954713;0,9763179816732119
negocios > negocios.median();5962;0,6876886950687688;0,7047131834954713;0,9758419612043318
