index;date;pivot;entry;body;range;upper_wick;lower_wick;upper_wick_ratio;lower_wick_ratio;quantity;trades;duration;run_length;prev_quantity;prev_trades;prev_duration;future_move;adverse_move;net_move;quantity_percentile;trades_percentile;wick_imbalance;quantity_q;trades_q;wick_q
183;2026-06-23 09:04:01.863;LOW;172200;50;130;0;80;0,0;0,6153846153846154;2;2;0,0;3;0;0;0,0;105;170;-65;0,04000476247172283;0,05929277294916061;80;0;0;3
186;2026-06-23 09:04:01.863;HIGH;172200;50;105;55;0;0,5238095238095238;0,0;7;1;0,0;3;0;0;0,0;170;105;65;0,09905941183474223;0,022145493511132278;-55;0;0;1
190;2026-06-23 09:04:01.864;LOW;172150;50;120;0;70;0,0;0,5833333333333334;42;14;0,0;4;9;3;0,0;175;45;130;0,25205381593046794;0,2580664364805334;70;1;1;2
194;2026-06-23 09:04:01.867;HIGH;172200;50;105;55;0;0,5238095238095238;0,0;3;1;0,0;4;0;0;0,0;95;125;-30;0,054947017502083584;0,022145493511132278;-55;0;0;1
196;2026-06-23 09:04:01.867;LOW;172250;50;145;0;95;0,0;0,6551724137931034;1;1;0,0;2;0;0;0,0;75;70;5;0,01595428027146089;0,022145493511132278;95;0;0;3
198;2026-06-23 09:04:01.868;HIGH;172200;50;125;75;0;0,6;0,0;126;56;0,0;2;16;8;0,0;100;125;-25;0,33224193356351944;0,3808786760328611;-75;1;1;0
209;2026-06-23 09:04:01.934;LOW;172200;50;150;0;100;0,0;0,6666666666666666;37;10;0,0;3;6;6;0,0;155;30;125;0,2393142040719133;0,21187046076913918;100;0;0;3
213;2026-06-23 09:04:01.937;HIGH;172250;50;105;55;0;0,5238095238095238;0,0;39;8;0,0;4;22;5;0,0;80;105;-25;0,2447315156566258;0,18454577925943566;-55;0;0;1
215;2026-06-23 09:04:01.941;LOW;172300;50;125;0;75;0,0;0,6;3;2;0,0;2;0;0;0,0;55;130;-75;0,054947017502083584;0,05929277294916061;75;0;0;2
221;2026-06-23 09:04:01.953;HIGH;172250;50;105;55;0;0,5238095238095238;0,0;5;1;0,0;2;1;1;0,0;55;115;-60;0,07899749970234551;0,022145493511132278;-55;0;0;1
225;2026-06-23 09:04:01.965;LOW;172300;50;105;0;55;0,0;0,5238095238095238;9;4;0,0;2;0;0;0,0;200;85;115;0,11483509941659721;0,11251339445172044;55;0;0;2
227;2026-06-23 09:04:01.969;HIGH;172250;50;110;60;0;0,5454545454545454;0,0;302;32;0,0;2;0;0;0,0;35;250;-215;0,36944874389808313;0,3476604357661626;-60;1;1;1
235;2026-06-23 09:04:02.006;HIGH;172350;50;150;100;0;0,6666666666666666;0,0;1299;191;0,0;3;599;29;0,0;200;95;105;0,41612096678175975;0,41641862126443624;-100;1;1;0
238;2026-06-23 09:04:02.078;LOW;172350;50;140;0;90;0,0;0,6428571428571429;490;71;0,0;3;25;11;0,0;95;265;-170;0,38671270389332063;0,39111799023693294;90;1;1;3
240;2026-06-23 09:04:02.229;HIGH;172300;50;145;95;0;0,6551724137931034;0,0;1572;437;0,0;2;725;198;0,0;300;70;230;0,4208834385045839;0,44576735325634004;-95;1;1;0
243;2026-06-23 09:04:04.128;LOW;172300;50;120;0;70;0,0;0,5833333333333334;1449;368;0,0;3;3801;1005;0,01;45;450;-405;0,4192165734015954;0,43886176925824505;70;1;1;2
247;2026-06-23 09:04:06.821;LOW;172200;50;115;0;65;0,0;0,5652173913043478;962;232;0,0;3;347;24;0,0;10;420;-410;0,4080247648529587;0,4214787474699369;65;1;1;2
254;2026-06-23 09:04:09.400;LOW;171950;50;120;0;70;0,0;0,5833333333333334;362;54;0,0;6;1160;219;0,0;15;335;-320;0,375342302655078;0,3793308727229432;70;1;1;2
257;2026-06-23 09:04:10.931;LOW;171900;50;120;0;70;0,0;0,5833333333333334;973;230;0,0;2;1565;383;0,0;35;285;-250;0,4085010120252411;0,42118109298726036;70;1;1;2
260;2026-06-23 09:04:16.454;LOW;171850;50;150;0;100;0,0;0,6666666666666666;9700;1377;0,04;2;12313;2212;0,05;200;235;-35;0,5044648172401477;0,5454816049529706;100;2;2;3
264;2026-06-23 09:04:25.229;LOW;171750;50;135;0;85;0,0;0,6296296296296297;7310;1056;0,02;3;3903;623;0,01;375;0;375;0,4838671270389332;0,507679485653054;85;1;2;3
271;2026-06-23 09:04:32.646;HIGH;171950;50;140;90;0;0,6428571428571429;0,0;2840;321;0,0;7;1308;32;0,0;5;195;-190;0,4419573758780807;0,43338492677699725;-90;1;1;0
274;2026-06-23 09:04:36.452;HIGH;172000;50;125;75;0;0,6;0,0;2519;416;0,01;2;768;63;0,0;200;145;55;0,4374330277413978;0,44302893201571614;-75;1;1;0
292;2026-06-23 09:06:20.150;LOW;171550;50;110;0;60;0,0;0,5454545454545454;24264;4070;0,29;12;8296;1365;0,08;375;30;345;0,6554351708536731;0,8039052268127158;60;2;3;2
299;2026-06-23 09:06:43.863;HIGH;171750;50;150;100;0;0,6666666666666666;0,0;9012;1442;0,03;7;2546;369;0,0;100;250;-150;0,4986307893796881;0,5519109417787832;-100;1;2;0
302;2026-06-23 09:06:51.227;HIGH;171800;50;125;75;0;0,6;0,0;14361;2749;0,19;2;1482;206;0,0;150;350;-200;0,5514346946065007;0,6949041552565781;-75;2;2;0
305;2026-06-23 09:07:09.001;LOW;171800;50;150;0;100;0,0;0,6666666666666666;29256;4672;0,55;3;2032;235;0,01;375;5;370;0,7086557923562329;0,8434932730086915;100;2;3;3
313;2026-06-23 09:08:59.511;HIGH;172050;50;125;75;0;0,6;0,0;17934;2789;0,23;8;5420;658;0,03;335;0;335;0,5894749374925586;0,698416478152161;-75;2;2;0
320;2026-06-23 09:10:31.688;LOW;171850;50;110;0;60;0,0;0,5454545454545454;15784;2170;0,22;7;19297;2609;0,16;70;135;-65;0,567448505774497;0,635909036790094;60;2;2;2
324;2026-06-23 09:12:57.407;HIGH;171800;50;120;70;0;0,5833333333333334;0,0;12924;1817;0,18;2;6776;417;0,02;85;195;-110;0,5368496249553518;0,5963805214906537;-70;2;2;1
326;2026-06-23 09:13:27.587;LOW;171850;50;105;0;55;0,0;0,5238095238095238;13122;1972;0,49;2;9545;1508;0,31;200;135;65;0,5386355518514109;0,615787593761162;55;2;2;2
330;2026-06-23 09:14:40.659;HIGH;171800;50;105;55;0;0,5238095238095238;0,0;15969;2308;0,47;2;7625;755;0,05;55;250;-195;0,5693534944636266;0,6515061316823432;-55;2;2;1
333;2026-06-23 09:15:46.625;HIGH;171850;50;145;95;0;0,6551724137931034;0,0;133774;16935;3,71;2;14795;1548;0,11;105;200;-95;0,9842838433146803;0,994285033932611;-95;3;3;0
336;2026-06-23 09:19:39.907;HIGH;171900;50;150;100;0;0,6666666666666666;0,0;75727;9040;1,6;2;4483;387;0,04;265;20;245;0,9342778902250268;0,9598761757352066;-100;3;3;0
340;2026-06-23 09:22:06.154;LOW;171850;50;105;0;55;0,0;0,5238095238095238;46435;6106;1,18;4;29871;3342;0,41;100;215;-115;0,8359328491487081;0,8996904393380164;55;3;3;2
342;2026-06-23 09:23:49.065;HIGH;171800;50;120;70;0;0,5833333333333334;0,0;39224;5726;1,42;2;21271;2929;0,52;165;175;-10;0,7856887724729135;0,8873080128586737;-70;3;3;1
346;2026-06-23 09:30:02.141;LOW;171750;50;115;0;65;0,0;0,5652173913043478;20906;2240;0,18;4;40221;6120;1,26;225;55;170;0,6205500654839862;0,6433503988570067;65;2;2;2
351;2026-06-23 09:31:28.796;HIGH;171850;50;125;75;0;0,6;0,0;67626;8727;1,34;5;6370;377;0,0;300;45;255;0,9142755089891654;0,9549946422193119;-75;3;3;0
354;2026-06-23 09:35:00.880;LOW;171850;50;150;0;100;0,0;0,6666666666666666;88546;11932;3,32;3;25606;3029;0,87;35;400;-365;0,9529705917371115;0,9802357423502798;100;3;3;3
363;2026-06-23 09:52:48.714;LOW;171600;50;150;0;100;0,0;0,6666666666666666;52988;5977;0,78;6;37518;4689;0,74;200;100;100;0,8665317299678533;0,8957018692701512;100;3;3;3
367;2026-06-23 09:54:17.311;HIGH;171650;50;110;60;0;0,5454545454545454;0,0;64823;9406;2,6;4;34836;4694;0,56;150;205;-55;0,9064174306465055;0,96350756042386;-60;3;3;1
370;2026-06-23 09:57:08.965;LOW;171650;50;150;0;100;0,0;0,6666666666666666;79401;10882;2,18;3;8876;809;0,03;205;35;170;0,9398737944993452;0,9749970234551733;100;3;3;3
375;2026-06-23 10:00:27.125;HIGH;171750;50;105;55;0;0,5238095238095238;0,0;14981;1533;0,12;5;16951;1894;0,15;300;60;240;0,5591141802595547;0,5638171210858436;-55;2;2;1
378;2026-06-23 10:02:03.568;LOW;171750;50;110;0;60;0,0;0,5454545454545454;15695;1947;0,22;3;17638;1681;0,2;50;350;-300;0,5659602333611145;0,6132872961066793;60;2;2;2
386;2026-06-23 10:07:33.681;LOW;171550;50;150;0;100;0,0;0,6666666666666666;134469;16732;2,48;5;35545;4024;0,47;300;110;190;0,9846410286938921;0,9939278485533992;100;3;3;3
394;2026-06-23 10:12:22.070;HIGH;171700;50;145;95;0;0,6551724137931034;0,0;71785;7684;0,99;6;80362;8661;0,66;15;430;-415;0,9268960590546493;0,9372544350517918;-95;3;3;0
402;2026-06-23 10:15:36.562;HIGH;172000;50;130;80;0;0,6153846153846154;0,0;30266;2597;0,2;7;45687;5900;0,53;385;40;345;0,7178235504226693;0,6818073580188118;-80;2;2;0
410;2026-06-23 10:17:34.249;LOW;171750;50;135;0;85;0,0;0,6296296296296297;43426;4589;0,49;8;31615;3908;0,35;275;50;225;0,8155732825336349;0,838075961423979;85;3;3;3
416;2026-06-23 10:19:58.708;HIGH;171900;50;125;75;0;0,6;0,0;46453;5762;1,02;6;51309;5650;1,03;380;5;375;0,83629003452792;0,8892725324443386;-75;3;3;0
424;2026-06-23 10:21:53.359;LOW;171650;50;130;0;80;0,0;0,6153846153846154;79876;8885;1,08;8;5281;209;0,0;400;90;310;0,9410644124300512;0,9573758780807239;80;3;3;3
426;2026-06-23 10:23:35.520;HIGH;171600;50;120;70;0;0,5833333333333334;0,0;15742;1534;0,22;2;37004;4325;0,61;25;550;-525;0,5666150732230028;0,5644124300511966;-70;2;2;1
