regra,n,por_dia,p,p_acaso,lift,pts,pts_acaso,n_tr,p_tr,n_te,p_te,pts_te,lift_tr,lift_te
perna>=3,2644,75.54285714285714,0.3755673222390318,0.38054772153777644,-0.004980399298744664,6.335098335854766,7.082158230666469,1635,0.3785932721712538,1009,0.37066402378592667,5.599603567888999,-0.001954449366522615,-0.009883697751849774
perna>=4,1814,51.82857142857143,0.37045203969129,0.38331331222015946,-0.012861272528869483,5.567805953693495,7.496996833023916,1119,0.36907953529937443,695,0.3726618705035971,5.899280575539568,-0.014233776920785035,-0.010651441716562349
perna>=5,1223,34.94285714285714,0.3671300081766149,0.3842180546726001,-0.01708804649598522,5.069501226492232,7.632708200890019,748,0.37433155080213903,475,0.35578947368421054,3.3684210526315788,-0.009886503870461083,-0.028428580988389573
perna<=2,3054,87.25714285714285,0.352324819908317,0.37612241466285523,-0.023797594754538243,2.848722986247544,6.418362199428283,1902,0.3459516298633018,1152,0.3628472222222222,4.427083333333333,-0.03017078479955343,-0.013275192440633021
pernapts>=200,1814,51.82857142857143,0.37045203969129,0.38331331222015946,-0.012861272528869483,5.567805953693495,7.496996833023916,1119,0.36907953529937443,695,0.3726618705035971,5.899280575539568,-0.014233776920785035,-0.010651441716562349
pernapts>=300,841,24.02857142857143,0.36504161712247324,0.3809141940657578,-0.01587257694328459,4.756242568370987,7.137129109863673,512,0.37890625,329,0.3434650455927052,1.5197568389057752,-0.0020079440657578274,-0.03744914847305264
pernapav>=90,4078,116.51428571428572,0.3634134379597842,0.37681349873843567,-0.013400060778651468,4.512015693967631,6.522024810765349,2525,0.36158415841584157,1553,0.3663876368319382,4.958145524790727,-0.015229340322594098,-0.010425861906497469
pav<=110,1335,38.142857142857146,0.36779026217228467,0.3839161303165019,-0.016125868144217237,5.168539325842697,7.5874195474752835,841,0.36741973840665876,494,0.3684210526315789,5.2631578947368425,-0.016496391909843144,-0.015495077684922975
pav>=130,2506,71.6,0.36951316839584997,0.37561942517343905,-0.006106256777589081,5.426975259377494,6.342913776015857,1527,0.3713163064833006,979,0.36670071501532175,5.005107252298264,-0.004303118690138441,-0.008918710158117293
pav=150,493,14.085714285714285,0.36105476673427994,0.3771567436208991,-0.016101976886619185,4.158215010141988,6.573511543134872,300,0.33666666666666667,193,0.39896373056994816,9.844559585492227,-0.04049007695423246,0.021806986949049034
pav1<=70,2013,57.51428571428571,0.36959761549925485,0.38481296408723675,-0.015215348587981903,5.439642324888227,7.721944613085509,1253,0.37270550678371905,760,0.36447368421052634,4.671052631578948,-0.012107457303517699,-0.020339279876710414
pav1>=110,2381,68.02857142857142,0.35783284334313314,0.3758949336495052,-0.01806209030637207,3.6749265014699706,6.384240047425783,1465,0.34812286689419797,916,0.37336244541484714,6.004366812227074,-0.027772066755307245,-0.00253248823465807
pav2<=70,2007,57.34285714285714,0.36771300448430494,0.3804275534441805,-0.01271454895987556,5.15695067264574,7.064133016627078,1226,0.3523654159869494,781,0.39180537772087065,8.770806658130601,-0.028062137457231073,0.011377824276690152
pav2>=110,2361,67.45714285714286,0.35366370182126217,0.37847253642204326,-0.024808834600781093,3.0495552731893265,6.770880463306488,1467,0.35991820040899797,894,0.3434004474272931,1.5100671140939597,-0.01855433601304529,-0.03507208899475017
efic20>=0.5,2426,69.31428571428572,0.3668590272052762,0.37898023747894327,-0.012121210273667082,5.028854080791426,6.847035621841489,1460,0.36164383561643837,966,0.3747412008281574,6.211180124223603,-0.017336401862504902,-0.004239036650785899
efic20<=0.25,1481,42.31428571428572,0.3565158676569885,0.3793590951932139,-0.02284322753622542,3.4773801485482783,6.903864278982092,935,0.3497326203208556,546,0.36813186813186816,5.21978021978022,-0.02962647487235831,-0.011227227061345768
efic50>=0.5,2642,75.48571428571428,0.3633610900832703,0.3811593047360867,-0.017798214652816446,4.504163512490537,7.173895710413012,1590,0.36163522012578614,1052,0.3659695817490494,4.895437262357414,-0.019524084610300585,-0.015189722987037302
efic50<=0.25,1401,40.02857142857143,0.3547466095645967,0.37513383297644537,-0.020387223411848676,3.2119914346895073,6.270074946466809,917,0.3555070883315158,484,0.35330578512396693,2.9958677685950414,-0.019626744644929583,-0.021828047852478438
vira20<=5,1279,36.542857142857144,0.3752931978107897,0.3881919342263803,-0.01289873641559064,6.293979671618452,8.228790133957048,762,0.3884514435695538,517,0.35589941972920697,3.3849129593810443,0.00025950934317348073,-0.03229251449717335
vira20>=9,1283,36.65714285714286,0.3593141075604053,0.37644360717503483,-0.017129499614629506,3.897116134060795,6.466541076255221,843,0.3534994068801898,440,0.3704545454545455,5.568181818181818,-0.022944200294845007,-0.005989061720489353
vira50<=14,1548,44.22857142857143,0.3669250645994832,0.3785182981255579,-0.011593233526074664,5.038759689922481,6.777744718833681,939,0.38338658146964855,609,0.3415435139573071,1.2315270935960592,0.004868283344090674,-0.036974784168250785
vira50>=22,329,9.4,0.3677811550151976,0.37344527363184077,-0.005664118616643177,5.167173252279635,6.016791044776119,245,0.3673469387755102,84,0.36904761904761907,5.357142857142857,-0.006098334856330545,-0.0043976545842217
amp20>=500,2584,73.82857142857142,0.37886996904024767,0.38178733031674206,-0.00291736127649439,6.830495356037152,7.268099547511312,1579,0.3799873337555415,1005,0.37711442786069654,6.567164179104478,-0.0017999965612005564,-0.0046729024560455135
dext20<=0.5,2129,60.82857142857143,0.35274776890558945,0.3778202498601529,-0.025072480954563436,2.912165335838422,6.673037479022935,1329,0.3513920240782543,800,0.355,3.25,-0.026428225781898573,-0.022820249860152908
dext20>=2,2686,76.74285714285715,0.3648548026805659,0.3794915442400918,-0.014636741559525879,4.728220402084885,6.923731636013766,1655,0.3607250755287009,1031,0.37148399612027155,5.722599418040737,-0.01876646871139087,-0.00800754811982024
dext50<=0.5,1356,38.74285714285714,0.3561946902654867,0.3758508434448062,-0.019656153179319458,3.4292035398230087,6.377626516720923,839,0.3575685339690107,517,0.3539651837524178,3.094777562862669,-0.018282309475795455,-0.02188565969238837
dext50>=3,3329,95.11428571428571,0.3655752478221688,0.3798252438805434,-0.01424999605837457,4.8362871733253225,6.973786582081513,2059,0.36036911121903836,1270,0.37401574803149606,6.102362204724409,-0.019456132661505032,-0.00580949584904733
furo>=0,1804,51.542857142857144,0.35476718403547675,0.3777217133768442,-0.022954529341367436,3.2150776053215075,6.658257006526627,1125,0.35555555555555557,679,0.35346097201767307,3.0191458026509572,-0.022166157821288612,-0.024260741359171112
furo<=-1,3304,94.4,0.3713680387409201,0.3785814649642617,-0.00721342622334159,5.705205811138015,6.787219744639257,2030,0.36847290640394087,1274,0.37598116169544743,6.397174254317111,-0.010108558560320835,-0.0026003032688142746
pos20<=0.2,1268,36.22857142857143,0.36829652996845424,0.3788469184890656,-0.010550388520611353,5.244479495268139,6.827037773359841,781,0.353393085787452,487,0.3921971252566735,8.829568788501026,-0.02545383270161361,0.013350206767607897
pos20>=0.8,947,27.057142857142857,0.3833157338965153,0.3799416557690373,0.003374078127477975,7.497360084477297,6.991248365355598,570,0.38421052631578945,377,0.3819628647214854,7.294429708222812,0.004268870546752124,0.0020212089524480614
pos50<=0.2,1316,37.6,0.37462006079027355,0.3785284228633982,-0.0039083620731246715,6.193009118541034,6.779263429509735,800,0.3725,516,0.37790697674418605,6.686046511627907,-0.0060284228633982195,-0.0006214461192121656
pos50>=0.8,1367,39.05714285714286,0.3584491587417703,0.375418744882007,-0.016969586140236692,3.767373811265545,6.31281173230105,832,0.3545673076923077,535,0.3644859813084112,4.672897196261682,-0.020851437189699285,-0.010932763573595794
