price,score,n_events,unique_days,unique_weeks,unique_months,span_days,first_event,last_event,mean_strength,median_strength,max_strength,mean_reaction,n_scales,n_sources,mean_rel_volume,decayed_touches,c__scale_weight,c__n_pairs,c_touch,c_reaction,c_temporal,c_scale,c_volume,c_recency,c_confluence
118580.0000,88.8000,35,29,19,11,808.0097,2021-08-17 11:13:00,2023-11-03 11:27:00,2.6316,2.7299,3.8333,2689.0000,4,1,2.2238,5.3824,4.3000,4.0000,0.8840,0.6847,0.8927,0.7082,0.3447,0.4594,0.7218
118090.0000,89.0000,32,25,17,10,748.9764,2021-08-17 10:54:00,2023-09-05 10:20:00,2.4714,2.4250,4.0000,2537.8125,5,1,2.3067,4.8928,6.8000,5.0000,0.8225,0.5418,0.8089,0.9812,0.4266,0.3706,0.9812
117845.0000,95.1000,37,30,20,10,765.6806,2021-08-17 17:10:00,2023-09-22 09:30:00,2.6974,2.5920,4.0000,2743.1081,5,1,1.9806,5.7201,6.8000,5.0000,0.9044,0.7338,0.8647,0.9812,0.1229,0.4577,0.9812
117600.0000,83.5000,33,26,19,10,783.9424,2021-08-18 10:24:00,2023-10-11 09:01:00,2.5142,2.5169,4.0000,2236.8182,4,1,2.1276,5.0898,4.3000,4.0000,0.8464,0.6032,0.8307,0.7082,0.2560,0.4078,0.7218
117110.0000,96.7000,34,27,19,11,770.7611,2021-09-02 16:35:00,2023-10-13 10:51:00,2.6844,2.6422,4.0000,2897.5000,5,1,2.2587,5.2344,6.8000,5.0000,0.8703,0.7619,0.8634,0.9812,0.3788,0.4256,0.9812
116620.0000,87.6000,32,28,22,12,804.1542,2021-08-19 11:18:00,2023-11-01 15:00:00,2.5209,2.6833,4.0000,2528.4375,4,1,2.3108,4.9370,4.3000,4.0000,0.8225,0.6826,0.8968,0.7082,0.4403,0.3993,0.7218
116130.0000,96.4000,34,25,17,12,799.0347,2021-08-19 10:12:00,2023-10-27 11:02:00,2.6057,2.6696,4.0000,2712.7941,5,1,2.3433,5.2262,6.8000,5.0000,0.8703,0.7210,0.8617,0.9812,0.4710,0.4294,0.9812
115885.0000,84.0000,30,20,16,11,804.1694,2021-08-19 11:38:00,2023-11-01 15:42:00,2.6855,2.6918,4.0000,2296.0000,4,1,1.9214,4.6296,4.3000,4.0000,0.7782,0.7799,0.8061,0.7082,0.0751,0.3560,0.7218
115640.0000,92.7000,27,22,15,9,796.9924,2021-08-19 10:18:00,2023-10-25 10:07:00,2.9246,2.8009,4.0000,3386.6667,5,1,2.0923,4.1719,6.8000,5.0000,0.7406,0.8925,0.7711,0.9812,0.2116,0.3007,0.9812
114905.0000,99.0000,36,30,20,11,803.1333,2021-08-19 09:02:00,2023-10-31 12:14:00,2.7061,2.7882,4.0000,2582.2222,5,1,2.2102,5.5354,6.8000,5.0000,0.8942,0.8080,0.9000,0.9812,0.3208,0.4594,0.9812
114415.0000,89.8000,41,30,22,11,782.0562,2021-09-09 10:04:00,2023-10-31 11:25:00,2.5625,2.4916,4.0000,2329.5122,4,1,2.2639,6.3135,4.3000,4.0000,0.9386,0.6288,0.8966,0.7082,0.3857,0.5276,0.7218
113680.0000,89.6000,38,29,24,11,782.0042,2021-09-08 16:35:00,2023-10-30 16:41:00,2.6303,2.5144,4.0000,2608.2895,4,1,2.2132,5.8425,4.3000,4.0000,0.9164,0.6800,0.8859,0.7082,0.3311,0.4969,0.7218
113435.0000,84.8000,33,28,19,13,768.7938,2021-09-22 15:13:00,2023-10-31 10:16:00,2.4289,2.3091,4.0000,2024.0909,4,1,2.1578,5.0541,5.0000,4.0000,0.8464,0.4548,0.8956,0.9471,0.2969,0.4143,0.7218
