target,n,base_rate,roc_auc,pr_auc,precision,edge_vs_base,auc_fold_mean,auc_fold_std,folds_above_05,n_folds
p2c2,2248,0.45373665480427045,0.5285523248387303,0.47436953277018556,0.48055987558320373,0.026823220778933288,0.5332253703207138,0.06470093158942634,4,6
p2c3,2248,0.31717081850533807,0.5249475766477378,0.34431906928194955,0.5555555555555556,0.2383847370502175,0.5281465904053136,0.05989835432736524,3,6
p3c2,1485,0.47609427609427607,0.5061313053817317,0.4789945100334495,0.4753577106518283,-0.0007365654424477674,0.4985573161562273,0.022589446773670474,2,6
p3c3,1485,0.32525252525252524,0.5084871664538417,0.33267771885488295,0.5,0.17474747474747476,0.5093265879298888,0.026444612204239704,4,6
p2c2e,763,0.41022280471821754,0.5936066737664182,0.48115677585162864,0.5,0.08977719528178246,0.5612494949574792,0.09381866187990032,4,6
p3c2e,464,0.4892241379310345,0.5390899459097753,0.5354892397107485,0.51440329218107,0.025179154250035474,0.5370111148148494,0.047712318788967166,4,6
