target,feature_set,n_features,n_lags,depth,learning_rate,l2_leaf_reg,oof_auc,oof_pr_auc,base_rate,auc_fold_mean,auc_fold_std,auc_fold_min,folds_above_05,n_folds,stability_score
p3c2,STRUCT+AGG,41,5,5,0.1,10.0,0.526751398973904,0.4913569792731827,0.47609427609427607,0.5320189869609862,0.02426412079998057,0.4887218045112782,5,6,0.5198869265609959
p3c2,STRUCT+AGG,41,5,5,0.02,10.0,0.5252078917036029,0.48995802512871145,0.47609427609427607,0.5336107344166411,0.03198853897304836,0.47851772287862515,5,6,0.5176164649301169
p3c2,STRUCT+AGG,41,5,5,0.05,10.0,0.5198519760165513,0.47961770841745927,0.47609427609427607,0.5222536576025817,0.013284021028174806,0.5063556587946831,6,6,0.5156116470884943
p3c2,STRUCT+AGG,41,5,5,0.1,3.0,0.5316282638179353,0.49499722042232736,0.47609427609427607,0.5365860273058037,0.043120539481229056,0.4854588394062078,5,6,0.5150257575651892
p3c2,STRUCT+AGG,41,5,5,0.02,3.0,0.5178103285906998,0.4786641059034736,0.47609427609427607,0.5259835158374289,0.024114440853080184,0.48239646735887337,5,6,0.5139262954108887
p3c2,STRUCT+AGG,41,5,5,0.05,3.0,0.5143233475018453,0.47736350468183597,0.47609427609427607,0.5202919110988379,0.02576627986719688,0.49510681465568684,4,6,0.5074087711652394
p3c2,STRUCT+AGG,41,5,4,0.02,10.0,0.515735956629082,0.48954194012827107,0.47609427609427607,0.5157787490070035,0.025813232421779467,0.480161943319838,4,6,0.5028721327961138
p3c2,STRUCT+VOL,28,5,6,0.1,3.0,0.5167795057140676,0.4927167690418326,0.47609427609427607,0.5161639777925292,0.030757904295766594,0.478302162478083,4,6,0.5007850256446459
p3c2,STRUCT+AGG,41,5,3,0.02,3.0,0.5160777462248612,0.4799892692762155,0.47609427609427607,0.5184921923169762,0.03573311131065413,0.48442534908700324,3,6,0.5006256366616492
p3c2,EXTENDED,97,5,3,0.05,3.0,0.5074157434105512,0.4774061557135306,0.47609427609427607,0.5134125754010294,0.028863587686884268,0.48132235350280467,4,6,0.49898078155758724
p3c2,STRUCT+AGG,41,5,6,0.05,10.0,0.5084129327365348,0.48646340973057056,0.47609427609427607,0.5097513115223495,0.022653097900791452,0.4797774520255864,4,6,0.4984247625719538
p3c2,STRUCT+VOL,28,5,5,0.1,3.0,0.5106254749602761,0.48583270098748205,0.47609427609427607,0.5151025086311453,0.03359016420621439,0.4713569638381669,4,6,0.49830742652803806
p3c2,STRUCT+VOL,28,5,4,0.05,3.0,0.5097964533875349,0.4855013207323247,0.47609427609427607,0.5068425686925223,0.019289957781003255,0.4807692307692307,4,6,0.49719758980202067
p3c2,BASE,42,5,4,0.1,3.0,0.5160759281950964,0.48633485458797926,0.47609427609427607,0.5132968384217641,0.03229283777635781,0.4659919028340081,4,6,0.4971504195335852
p3c2,EXTENDED,97,5,5,0.02,10.0,0.5217599982546914,0.5008406129710706,0.47609427609427607,0.5166480111242427,0.03901499067686366,0.4766194331983806,3,6,0.4971405157858109
p3c2,BASE,42,5,3,0.05,10.0,0.5168204113837752,0.4857495403355947,0.47609427609427607,0.5122144816219597,0.03078819966651995,0.4927198949755341,3,6,0.49682038178869975
p3c2,STRUCT+VOL,28,5,4,0.1,3.0,0.5161241059838632,0.49013613986948834,0.47609427609427607,0.510234908313779,0.027431617155553156,0.48137651821862343,4,6,0.49651909973600244
p3c2,STRUCT+AGG,41,5,6,0.05,3.0,0.5065212727662777,0.4799811464778832,0.47609427609427607,0.514826139824995,0.03663425760725328,0.46765723833393,4,6,0.4965090110213684
p3c2,STRUCT+AGG,41,5,3,0.05,10.0,0.5064276442333914,0.47060254088601206,0.47609427609427607,0.5136383449089701,0.03581812419557121,0.474937343358396,3,6,0.4957292828111845
p3c2,EXTENDED,97,5,4,0.1,3.0,0.5220826985379405,0.49502796226260243,0.47609427609427607,0.5138099759543057,0.03622835121863939,0.44422121566335476,5,6,0.49569580034498595
p3c2,STRUCT+AGG,41,5,4,0.1,10.0,0.5070112317878868,0.48199949716236573,0.47609427609427607,0.505730552445843,0.02188336316270495,0.480161943319838,3,6,0.4947888708644905
p3c2,STRUCT+AGG,41,5,6,0.02,3.0,0.5180539445791806,0.47766171657031303,0.47609427609427607,0.5164131594058444,0.04471198770927952,0.4652106456617735,4,6,0.49405716555120466
p3c2,STRUCT+VOL,28,5,4,0.1,10.0,0.5063576500874472,0.48363079576422213,0.47609427609427607,0.5088037438419467,0.029986025522116138,0.4811513734658095,3,6,0.49381073108088863
p3c2,BASE,42,5,3,0.05,3.0,0.5054631794431739,0.47408788236829974,0.47609427609427607,0.5084528106097073,0.029293762898070105,0.46892712550607285,4,6,0.49380592916067223
p3c2,BASE,42,5,6,0.05,3.0,0.5139506514000647,0.4819950779535509,0.47609427609427607,0.5152109338947605,0.0432681643760127,0.43989547038327526,5,6,0.49357685170675414
p3c2,STRUCT+AGG,41,5,4,0.05,10.0,0.5024861557033412,0.4746450828880902,0.47609427609427607,0.5037085746237812,0.020748994304808803,0.480161943319838,3,6,0.49333407747137675
p3c2,BASE,42,5,5,0.1,10.0,0.5214191176737946,0.4997069545747951,0.47609427609427607,0.5118028477872274,0.03779202781561489,0.4715956558061821,3,6,0.49290683387941997
p3c2,EXTENDED,97,5,4,0.1,10.0,0.5115990298993176,0.49148808336155025,0.47609427609427607,0.5112502791705072,0.03708298924897065,0.44312536528345997,5,6,0.4927087845460219
p3c2,STRUCT+VOL,28,5,4,0.02,3.0,0.5148669384015155,0.4980721361283542,0.47609427609427607,0.5122996687098701,0.04018481484555767,0.44826351593268887,4,6,0.49220726128709125
p3c2,STRUCT+AGG,41,5,3,0.05,3.0,0.4995273122611563,0.47415134631020794,0.47609427609427607,0.4991117930123416,0.013812457304860741,0.4784282133906194,4,6,0.49220556435991125
p3c2,STRUCT+VOL,28,5,4,0.05,10.0,0.5059358671820176,0.4845132922105352,0.47609427609427607,0.5073025264269675,0.030904139956393042,0.46966936572199725,4,6,0.49185045644877096
p3c2,EXTENDED,97,5,4,0.05,3.0,0.5044578089832487,0.4741096361704371,0.47609427609427607,0.5058787450540362,0.028687778595035858,0.47989020169471297,3,6,0.49153485575651823
p3c2,BASE,42,5,3,0.1,3.0,0.5124316875315882,0.49191215697439633,0.47609427609427607,0.508161751233776,0.03395272332854218,0.4697368421052632,3,6,0.49118538956950497
p3c2,STRUCT+AGG,41,5,6,0.1,10.0,0.4985637564858212,0.47445798681748114,0.47609427609427607,0.5069312365508613,0.031525497255191715,0.4678812415654521,3,6,0.4911684879232654
p3c2,BASE,42,5,3,0.02,10.0,0.4969075313701037,0.4742146010707602,0.47609427609427607,0.496483112782868,0.011364085672166301,0.47824919441460795,3,6,0.49080106994678485
p3c2,BASE,42,5,4,0.02,3.0,0.5044941695785443,0.47790958357283164,0.47609427609427607,0.5052970386215216,0.029173566544468406,0.4615384615384615,3,6,0.4907102553492874
p3c2,STRUCT+VOL,28,5,5,0.05,10.0,0.5165649782018231,0.4890492560944254,0.47609427609427607,0.5136598962342572,0.045912163865351775,0.4363697705802969,3,6,0.49070381430158133
p3c2,STRUCT+VOL,28,5,3,0.02,3.0,0.4959067059845904,0.4755782755069309,0.47609427609427607,0.5088524187509703,0.03669440832407911,0.4516648764769065,3,6,0.49050521458893076
p3c2,EXTENDED,97,5,6,0.1,3.0,0.5084138417514171,0.48272861586085997,0.47609427609427607,0.5058613310982168,0.031198630780868937,0.4642387492694331,3,6,0.4902620157077824
p3c2,STRUCT+AGG,41,5,4,0.02,3.0,0.5006717619980875,0.4706430902058204,0.47609427609427607,0.5044763388248674,0.029554635932306315,0.46402877697841727,4,6,0.48969902085871425
p3c2,BASE,42,5,5,0.02,3.0,0.5114790399348418,0.4931963874422084,0.47609427609427607,0.5062689749523279,0.03423921240884801,0.4639873493256952,3,6,0.48914936874790393
p3c2,BASE,42,5,5,0.02,10.0,0.5028352174181796,0.4792669881778385,0.47609427609427607,0.503479467714009,0.029595785892125456,0.45238095238095233,3,6,0.48868157476794627
p3c2,STRUCT+AGG,41,5,3,0.1,3.0,0.50505503176098,0.47076155210049264,0.47609427609427607,0.49764728615346415,0.019428409925347823,0.47502903600464574,2,6,0.48793308119079026
p3c2,BASE,42,5,4,0.05,10.0,0.5061313053817317,0.4789945100334495,0.47609427609427607,0.4985573161562273,0.022589446773670474,0.47475891291642314,2,6,0.48726259276939204
p3c2,BASE,42,5,4,0.05,3.0,0.5123471491475258,0.48654920574466,0.47609427609427607,0.5098441646085908,0.04574161316504131,0.44311740890688256,3,6,0.48697335802607017
p3c2,EXTENDED,97,5,5,0.1,10.0,0.49728568156117847,0.4757348436438228,0.47609427609427607,0.5009027048547305,0.028451644620907098,0.47047908232118757,3,6,0.486676882544277
p3c2,BASE,42,5,3,0.1,10.0,0.4924551764761492,0.4734465676951698,0.47609427609427607,0.5005638994885054,0.02794198655856883,0.4690297171500179,2,6,0.486592906209221
p3c2,EXTENDED,97,5,6,0.1,10.0,0.5000254524167069,0.48437792831296156,0.47609427609427607,0.5017310047260986,0.03030803342870602,0.46831364124597213,2,6,0.48657698801174554
p3c2,STRUCT+AGG,41,5,4,0.05,3.0,0.5026615955756428,0.48532428637833225,0.47609427609427607,0.5048513499663221,0.03772398663335507,0.46402877697841727,3,6,0.48598935664964454
p3c2,BASE,42,5,5,0.05,3.0,0.5054040934758184,0.48343572895713566,0.47609427609427607,0.5017016733447736,0.03202654247158918,0.464047022317699,3,6,0.48568840210897896
p3c2,EXTENDED,97,5,6,0.05,3.0,0.48717107296480655,0.4773244647631206,0.47609427609427607,0.49658663483118204,0.02180415139801588,0.4600546375266525,3,6,0.4856845591321741
p3c2,BASE,42,5,3,0.02,3.0,0.5006099489860848,0.48001902185434,0.47609427609427607,0.5023229109514994,0.03373750979286977,0.4630325814536341,3,6,0.4854541560550645
p3c2,STRUCT+VOL,28,5,3,0.02,10.0,0.49543401824574673,0.47222896776998147,0.47609427609427607,0.5041134019369312,0.0378321492559213,0.461749612125552,3,6,0.4851973273089706
p3c2,EXTENDED,97,5,5,0.05,10.0,0.5102745952156729,0.49057769525398026,0.47609427609427607,0.5071222805986769,0.04519530993103178,0.4634952766531715,3,6,0.484524625633161
