experiment,model,feature_set,n_features,n_oof,base_rate,roc_auc,auc_ci_lo,auc_ci_hi,pr_auc,precision@0.5,recall@0.5,f1@0.5,n_signals@0.5,edge_vs_base,auc_fold_mean,auc_fold_std,auc_fold_min,auc_folds_above_0.5,n_folds
EXP009_STRUCT_CATBOOST,catboost,STRUCT,5,1485,0.47609427609427607,0.5201792213742124,0.4887572238564972,0.5471292362431476,0.488338658434565,0.5006934812760055,0.5106082036775106,0.5056022408963585,721,0.024599205181729478,0.524536818008436,0.03796674702146055,0.48287385129490396,4,6
EXP001_STRUCT_LOGISTIC,logistic,STRUCT,5,1485,0.47609427609427607,0.5157414107183762,0.4847871111425297,0.5455437795219003,0.4866743479740412,0.4918032786885246,0.4243281471004243,0.4555808656036447,610,0.01570900259424851,0.524536818008436,0.03796674702146055,0.48287385129490396,4,6
EXP002_STRUCT_LOGISTIC,logistic,STRUCT,5,1485,0.47609427609427607,0.5157414107183762,0.4847871111425297,0.5455437795219003,0.4866743479740412,0.4918032786885246,0.4243281471004243,0.4555808656036447,610,0.01570900259424851,0.524536818008436,0.03796674702146055,0.48287385129490396,4,6
EXP006_STRUCT+CANDLE_LOGISTIC,logistic,STRUCT+CANDLE,18,1485,0.47609427609427607,0.5124953185733556,0.4839781968712302,0.5409455722659484,0.49240494616328745,0.4852941176470588,0.3734087694483734,0.42206235011990406,544,0.00919984155278275,0.5153566007828622,0.02484283265197286,0.4914523670368206,3,6
EXP101_EXTENDED_RF,random_forest,EXTENDED,97,1485,0.47609427609427607,0.5110718012675304,0.48290681481557285,0.5378989564045882,0.4887210146396763,0.47429519071310117,0.4045261669024045,0.4366412213740458,603,-0.001799085381174903,0.5126503906486581,0.02151038980288969,0.4854994629430719,5,6
EXP003_STRUCT+AGG_LOGISTIC,logistic,STRUCT+AGG,41,1485,0.47609427609427607,0.510864545874345,0.48107279185132523,0.5414543092449753,0.49290749480188334,0.507168458781362,0.4002828854314003,0.44743083003952566,558,0.031074182687085894,0.5150387971970715,0.037397561851228826,0.46788379530916846,4,6
EXP005_STRUCT+TIME_LOGISTIC,logistic,STRUCT+TIME,18,1485,0.47609427609427607,0.5094664809852266,0.47923608669716894,0.5378686911499618,0.48368979095650666,0.47684391080617494,0.3932107496463932,0.4310077519379845,583,0.0007496347118988722,0.5129313854615993,0.04256233219800553,0.4449815013724788,4,6
EXP004_STRUCT+VOL_LOGISTIC,logistic,STRUCT+VOL,28,1485,0.47609427609427607,0.5070012326241805,0.47852538284778606,0.536300329183412,0.4811833614827653,0.4946808510638298,0.39462517680339465,0.43902439024390244,564,0.018586574969553737,0.5111979817066956,0.06050502185198675,0.42994390738751637,4,6
EXP014_BASE_CATBOOST,catboost,BASE,42,1485,0.47609427609427607,0.5061313053817317,0.4769014885029545,0.5364018746989734,0.4789945100334495,0.4753577106518283,0.4229137199434229,0.4476047904191616,629,-0.0007365654424477674,0.4985573161562273,0.022589446773670474,0.47475891291642314,2,6
EXP011_STRUCT+VOL_CATBOOST,catboost,STRUCT+VOL,28,1485,0.47609427609427607,0.5059358671820176,0.47599247053894933,0.5346666928310569,0.4845132922105352,0.4867549668874172,0.4158415841584158,0.448512585812357,604,0.010660690793141137,0.5073025264269675,0.030904139956393042,0.46966936572199725,4,6
EXP008_EXTENDED_LOGISTIC,logistic,EXTENDED,97,1485,0.47609427609427607,0.5027834035698833,0.4754544304545952,0.5323802639200811,0.48103092422353344,0.47709320695102686,0.42715700141442714,0.4507462686567164,633,0.0009989308567507904,0.504260242947387,0.02775174641736872,0.45691609977324266,5,6
EXP007_BASE_LOGISTIC,logistic,BASE,42,1485,0.47609427609427607,0.5026743217839963,0.47321023669986595,0.5312775481014875,0.48241198259130846,0.4887640449438202,0.36916548797736914,0.4206285253827558,534,0.012669768849544127,0.5068081313442472,0.040487602266182136,0.45691609977324266,3,6
EXP010_STRUCT+AGG_CATBOOST,catboost,STRUCT+AGG,41,1485,0.47609427609427607,0.5024861557033412,0.4735212323895077,0.530942038115695,0.4746450828880902,0.48353293413173654,0.45685997171145687,0.4698181818181818,668,0.007438658037460466,0.5037085746237812,0.020748994304808803,0.480161943319838,3,6
EXP012_STRUCT+TIME_CATBOOST,catboost,STRUCT+TIME,18,1485,0.47609427609427607,0.5020961883187952,0.47313361572015794,0.530017898934595,0.48530793786948845,0.4737704918032787,0.4087694483734088,0.4388762338648443,610,-0.0023237842909973883,0.5079528359730567,0.03380382153434786,0.4516648764769065,3,6
EXP000_ALWAYS_SIGNAL,always_signal,STRUCT,5,1485,0.47609427609427607,0.5,0.5,0.5,0.47609427609427607,0.47609427609427607,1.0,0.6450729927007299,1485,0.0,0.5,0.0,0.5,0,6
EXP013_STRUCT+CANDLE_CATBOOST,catboost,STRUCT+CANDLE,18,1485,0.47609427609427607,0.49974365780316554,0.47312702976789406,0.5289481123725913,0.47252671669712215,0.46938775510204084,0.39038189533239037,0.42625482625482625,588,-0.006706520992235232,0.4991670348601398,0.02788282955551456,0.45870628953335724,4,6
EXP015_EXTENDED_CATBOOST,catboost,EXTENDED,97,1485,0.47609427609427607,0.49664573508397486,0.47007930383333524,0.5265844907727554,0.46933219849523156,0.4740061162079511,0.43847241867043846,0.4555473916238061,654,-0.0020881598863249917,0.49652210301663674,0.040769681789990485,0.4464733261725743,3,6
EXP100_EXTENDED_TREE,tree,EXTENDED,97,1485,0.47609427609427607,0.48859549928551427,0.45990393997528695,0.5166918483535057,0.4731286239235023,0.46656760772659733,0.44413012729844414,0.45507246376811594,673,-0.009526668367678737,0.48657953272488097,0.036979572525560535,0.4152159244264507,2,6
