rule,n,n_per_day,precision,wilson_lo,wilson_hi,base_rate,edge,lift,beats_base_at_95,expectancy_R,expectancy_R_base,expectancy_R_delta,coverage
LogDurationResidual20_lt_prev,525,18.1,0.64,0.598059903137662,0.6799061267661882,0.6025862068965517,0.03741379310344828,1.0620886981402002,False,0.1730481463463544,0.0863985553494032,0.0866495909969512,0.22629310344827586
BuyShare_chg1 > mediana,1160,40.0,0.6396551724137931,0.6116073645923642,0.6667810346537187,0.6025862068965517,0.03706896551724137,1.061516452074392,True,0.15224599704140107,0.0863985553494032,0.06584744169199787,0.5
UpperWickNorm_lt_prev,874,30.14,0.6372997711670481,0.6048883645015523,0.6685094785717312,0.6025862068965517,0.03471356427049632,1.0576076316935275,True,0.1476372829508047,0.0863985553494032,0.06123872760140149,0.3767241379310345
BuyShare_ratio1 > mediana,1127,38.86,0.637089618456078,0.6085944255294254,0.6646533927326546,0.6025862068965517,0.0345034115595263,1.0572588804135201,True,0.1473955815889995,0.0863985553494032,0.06099702623959631,0.4857758620689655
AggBalanceNorm_chg1 > mediana,1160,40.0,0.6370689655172413,0.6089870534332202,0.6642460050860833,0.6025862068965517,0.03448275862068961,1.0572246065808297,True,0.14875724628451714,0.0863985553494032,0.06235869093511394,0.5
AggImbalance_chg1 > mediana,1160,40.0,0.6370689655172413,0.6089870534332202,0.6642460050860833,0.6025862068965517,0.03448275862068961,1.0572246065808297,True,0.14769069217099512,0.0863985553494032,0.06129213682159192,0.5
AggTotalRatio20_lt_prev,625,21.55,0.6368,0.5983660749581581,0.6735624997417347,0.6025862068965517,0.0342137931034483,1.0567782546494993,False,0.17460805448091804,0.0863985553494032,0.08820949913151484,0.26939655172413796
UpperWickNorm_chg1 < mediana,1125,38.79,0.6364444444444445,0.607915130499837,0.6640450807468073,0.6025862068965517,0.033858237547892744,1.0561882053727547,True,0.1472285535405975,0.0863985553494032,0.06082999819119429,0.4849137931034483
LowerWickNorm_chg1 > mediana,1125,38.79,0.6364444444444445,0.607915130499837,0.6640450807468073,0.6025862068965517,0.033858237547892744,1.0561882053727547,True,0.1472285535405975,0.0863985553494032,0.06082999819119429,0.4849137931034483
WickAsym_lt_prev,1125,38.79,0.6364444444444445,0.607915130499837,0.6640450807468073,0.6025862068965517,0.033858237547892744,1.0561882053727547,True,0.1472285535405975,0.0863985553494032,0.06082999819119429,0.4849137931034483
LowerWickNorm_gt_prev,1125,38.79,0.6364444444444445,0.607915130499837,0.6640450807468073,0.6025862068965517,0.033858237547892744,1.0561882053727547,True,0.1472285535405975,0.0863985553494032,0.06082999819119429,0.4849137931034483
AggBalanceNorm_gt_prev,1119,38.59,0.6362823949955317,0.6076735724004478,0.6639586863259834,0.6025862068965517,0.03369618809898001,1.0559192821098953,True,0.1474309075470961,0.0863985553494032,0.06103235219769289,0.48232758620689653
WickAsym_chg1 < mediana,1157,39.9,0.6361279170267934,0.6079969399241532,0.663357911590472,0.6025862068965517,0.03354171013024165,1.055662923821288,True,0.14924783213551532,0.0863985553494032,0.06284927678611212,0.4987068965517241
BuyShare_gt_prev,1129,38.93,0.6359610274579274,0.6074766558968131,0.6635232791338214,0.6025862068965517,0.03337482056137564,1.0553859683135847,True,0.14569861632393255,0.0863985553494032,0.05930006097452935,0.4866379310344828
SellShare_chg1 < mediana,1160,40.0,0.6353448275862069,0.6072406578484205,0.6625555068530303,0.6025862068965517,0.03275862068965518,1.0543633762517883,True,0.1444177208506682,0.0863985553494032,0.058019165501265,0.5
DurationRatio20_lt_prev,509,17.55,0.6345776031434185,0.5918795547314832,0.67525946051221,0.6025862068965517,0.031991396246866755,1.0530901568617532,False,0.16331889338401798,0.0863985553494032,0.07692033803461477,0.21939655172413794
AggImbalance_gt_prev,1120,38.62,0.6339285714285714,0.6053022509296746,0.6616392824679145,0.6025862068965517,0.03134236453201966,1.0520130799100755,True,0.14245794289339483,0.0863985553494032,0.05605938754399163,0.4827586206896552
SellShare_ratio1 < mediana,1133,39.07,0.6337157987643425,0.6052535702087812,0.6612743260258394,0.6025862068965517,0.03112959186779074,1.0516599807820275,True,0.14147020776711228,0.0863985553494032,0.055071652417709074,0.48836206896551726
SellShare_lt_prev,1115,38.45,0.6322869955156951,0.6035749063369075,0.660090656330766,0.6025862068965517,0.02970078861914338,1.0492888623722552,True,0.13926359046332693,0.0863985553494032,0.05286503511392372,0.48060344827586204
QuantityRatio20_lt_prev,615,21.21,0.6308943089430894,0.5920523807658196,0.6681111247257311,0.6025862068965517,0.028308102046537664,1.04697768007723,False,0.16200163659848452,0.0863985553494032,0.07560308124908131,0.2650862068965517
TradesRatio20_lt_prev,622,21.45,0.6302250803858521,0.5915956283048014,0.6672558126988009,0.6025862068965517,0.027638873489300386,1.0458670861911137,False,0.15973252670273935,0.0863985553494032,0.07333397135333615,0.2681034482758621
AggSellNorm_lt_prev,1062,36.62,0.6271186440677966,0.5976253263951518,0.6556956173548388,0.6025862068965517,0.02453243717124487,1.0407119129022089,False,0.14392021745633077,0.0863985553494032,0.057521662106927565,0.45775862068965517
AggSellNorm_chg1 < mediana,1160,40.0,0.6267241379310344,0.5985143793884862,0.6540973162237002,0.6025862068965517,0.024137931034482696,1.0400572246065807,False,0.14159764150807422,0.0863985553494032,0.055199086158671015,0.5
AggSellNorm_ratio1 < mediana,1133,39.07,0.6266548984995587,0.5981062260904386,0.654347589814961,0.6025862068965517,0.024068691603006953,1.0399423208290244,False,0.14120257628450575,0.0863985553494032,0.054804020935102546,0.48836206896551726
WickTotalNorm_ratio1 < mediana,908,31.31,0.6211453744493393,0.5891439953833194,0.652125979577244,0.6025862068965517,0.018559167552787526,1.030799190788603,False,0.12412450958623908,0.0863985553494032,0.037725954236835876,0.3913793103448276
TradesNorm_lt_prev,1016,35.03,0.6200787401574803,0.5898337119336646,0.649419128899657,0.6025862068965517,0.01749253326092859,1.0290290966848028,False,0.13683742055107553,0.0863985553494032,0.05043886520167233,0.4379310344827586
AggTotalNorm_lt_prev,1035,35.69,0.6193236714975845,0.5893521975314305,0.6484126359138223,0.6025862068965517,0.01673746460103276,1.0277760499816853,False,0.13432897499835045,0.0863985553494032,0.047930419648947245,0.44612068965517243
TradesNorm_chg1 < mediana,1160,40.0,0.6189655172413793,0.5906687695958758,0.6464769038359726,0.6025862068965517,0.016379310344827536,1.027181688125894,False,0.13112896568526514,0.0863985553494032,0.044730410335861934,0.5
DurationRatio20_chg1 < mediana,1159,39.97,0.6177739430543572,0.5894521646708646,0.6453175580497535,0.6025862068965517,0.015187736157805443,1.025204254568032,False,0.12725390866889572,0.0863985553494032,0.04085535331949251,0.4995689655172414
QuantityNorm_lt_prev,991,34.17,0.6175580221997982,0.5869010876240175,0.6473070516415701,0.6025862068965517,0.014971815303246427,1.0248459309753446,False,0.13151504471722264,0.0863985553494032,0.04511648936781944,0.4271551724137931
QuantityRatio20_chg1 < mediana,1159,39.97,0.6169111302847282,0.5885802701068237,0.6444695279052186,0.6025862068965517,0.01432492338817648,1.0237724050504788,False,0.1318934829095193,0.0863985553494032,0.0454949275601161,0.4995689655172414
AggTotalRatio20_chg1 < mediana,1159,39.97,0.6160483175150993,0.5877084683164185,0.6436214049870478,0.6025862068965517,0.013462110618547518,1.0223405555329257,False,0.13033341804913742,0.0863985553494032,0.04393486269973422,0.4995689655172414
AggTotalNorm_chg1 < mediana,1160,40.0,0.6137931034482759,0.5854425474069401,0.6413924445713497,0.6025862068965517,0.011206896551724133,1.0185979971387698,False,0.12170959015269617,0.0863985553494032,0.035311034803292965,0.5
TradesPerQuantity_chg1 > mediana,1160,40.0,0.6137931034482759,0.5854425474069401,0.6413924445713497,0.6025862068965517,0.011206896551724133,1.0185979971387698,False,0.10573435508295666,0.0863985553494032,0.019335799733553455,0.5
BodyNorm_ratio1 > mediana,1149,39.62,0.6135770234986945,0.5850875304222587,0.6413095739154057,0.6025862068965517,0.010990816602142739,1.0182394095257303,False,0.11669165924218552,0.0863985553494032,0.030293103892782322,0.49525862068965515
