rule,n,n_per_day,precision,wilson_lo,wilson_hi,base_rate,edge,lift,beats_base_at_95,expectancy_R,expectancy_R_base,expectancy_R_delta,coverage
UpperWickNorm_lt_prev,1310,45.17,0.6152671755725191,0.5886194835923414,0.6412407978906015,0.5758096875895672,0.0394574879829519,1.0685252242770131,True,0.10745482167790098,0.03717582191793065,0.07027899975997032,0.3754657494984236
BuyShare_ratio1 > mediana,1662,57.31,0.6089049338146811,0.585217972305686,0.6320896036367086,0.5758096875895672,0.03309524622511395,1.0574760149723357,True,0.09588441018646493,0.03717582191793065,0.05870858826853428,0.4763542562338779
SellShare_lt_prev,1652,56.97,0.6065375302663438,0.5827587777863639,0.629821942495093,0.5758096875895672,0.03072784267677664,1.0533645809354275,True,0.0924002973745052,0.03717582191793065,0.055224475456574544,0.47348810547434794
SellShare_ratio1 < mediana,1668,57.52,0.605515587529976,0.5818438291306828,0.6287024331467962,0.5758096875895672,0.029705899940408842,1.051589788398251,True,0.09051499718809948,0.03717582191793065,0.05333917527016883,0.47807394668959585
AggBuyNorm_chg1 > mediana,1744,60.14,0.6020642201834863,0.5788914245297094,0.6247883597253399,0.5758096875895672,0.026254532593919078,1.0455958507815748,True,0.07213673465470159,0.03717582191793065,0.03496091273677094,0.4998566924620235
WickTotalNorm_ratio1 < mediana,1336,46.07,0.6017964071856288,0.5752905148697951,0.6277185572473866,0.5758096875895672,0.02598671959606158,1.0451307439873863,False,0.09053527825376931,0.03717582191793065,0.053359456335838655,0.3829177414732015
AggImbalance_gt_prev,1685,58.1,0.6017804154302671,0.5782001642337135,0.6248976277676205,0.5758096875895672,0.02597072784069987,1.0451029713470392,True,0.08399418946187105,0.03717582191793065,0.0468183675439404,0.4829464029807968
AggBuyNorm_ratio1 > mediana,1662,57.31,0.6010830324909747,0.5773336217917268,0.6243662277017665,0.5758096875895672,0.025273344901407535,1.0438918369143906,True,0.07023981541569319,0.03717582191793065,0.03306399349776253,0.4763542562338779
AggBalanceNorm_gt_prev,1692,58.34,0.601063829787234,0.5775273521333799,0.624142426459149,0.5758096875895672,0.025254142197666862,1.0438584878684218,True,0.0832807524758535,0.03717582191793065,0.04610493055792284,0.48495270851246775
SellShare_chg1 < mediana,1744,60.14,0.6009174311926605,0.5777360360508317,0.6236552113024753,0.5758096875895672,0.025107743603093313,1.0436042396372287,True,0.08193504180043594,0.03717582191793065,0.04475921988250529,0.4998566924620235
BuyShare_chg1 > mediana,1706,58.83,0.5990621336459554,0.5756083172921277,0.6220708127512633,0.5758096875895672,0.02325244605638821,1.0403821723697055,False,0.07882242147266728,0.03717582191793065,0.04164659955473663,0.4889653195758097
BuyShare_gt_prev,1706,58.83,0.5990621336459554,0.5756083172921277,0.6220708127512633,0.5758096875895672,0.02325244605638821,1.0403821723697055,False,0.07882242147266728,0.03717582191793065,0.04164659955473663,0.4889653195758097
AggImbalance_chg1 > mediana,1744,60.14,0.5986238532110092,0.5754256517322227,0.6213885218176002,0.5758096875895672,0.022814165621442006,1.0396210173485372,False,0.07805238011960912,0.03717582191793065,0.040876558201678466,0.4998566924620235
QuantityNorm_chg1 > mediana,1744,60.14,0.5974770642201835,0.5742706555194009,0.6202549811286798,0.5758096875895672,0.021667376630616353,1.0376294062041913,False,0.06095599115135792,0.03717582191793065,0.023780169233427267,0.4998566924620235
LowerWickNorm_gt_prev,1710,58.97,0.5947368421052631,0.5712800079554721,0.6177689683326516,0.5758096875895672,0.018927154515695932,1.0328705037855963,False,0.07144727413514074,0.03717582191793065,0.034271452217210084,0.4901117798796217
LowerWickNorm_chg1 > mediana,1710,58.97,0.5947368421052631,0.5712800079554721,0.6177689683326516,0.5758096875895672,0.018927154515695932,1.0328705037855963,False,0.07144727413514074,0.03717582191793065,0.034271452217210084,0.4901117798796217
UpperWickNorm_chg1 < mediana,1710,58.97,0.5947368421052631,0.5712800079554721,0.6177689683326516,0.5758096875895672,0.018927154515695932,1.0328705037855963,False,0.07144727413514074,0.03717582191793065,0.034271452217210084,0.4901117798796217
WickAsym_lt_prev,1710,58.97,0.5947368421052631,0.5712800079554721,0.6177689683326516,0.5758096875895672,0.018927154515695932,1.0328705037855963,False,0.07144727413514074,0.03717582191793065,0.034271452217210084,0.4901117798796217
WickAsym_chg1 < mediana,1710,58.97,0.5947368421052631,0.5712800079554721,0.6177689683326516,0.5758096875895672,0.018927154515695932,1.0328705037855963,False,0.07144727413514074,0.03717582191793065,0.034271452217210084,0.4901117798796217
AggTotalNorm_ratio1 > mediana,1697,58.52,0.5945786682380672,0.5710304519379515,0.6176996449740713,0.5758096875895672,0.018768980648499967,1.032595805616036,False,0.05528365512206826,0.03717582191793065,0.018107833204137606,0.48638578389223275
BodyNorm_chg1 > mediana,1735,59.83,0.5942363112391931,0.5709468350016633,0.6171093973774102,0.5758096875895672,0.018426623649625884,1.0320012393795643,False,0.07796603554675527,0.03717582191793065,0.040790213628824616,0.4972771567784465
WickTotalNorm_chg1 < mediana,1735,59.83,0.5942363112391931,0.5709468350016633,0.6171093973774102,0.5758096875895672,0.018426623649625884,1.0320012393795643,False,0.07796603554675527,0.03717582191793065,0.040790213628824616,0.4972771567784465
AggTotalNorm_chg1 > mediana,1744,60.14,0.5940366972477065,0.5708064484823215,0.6168535774605329,0.5758096875895672,0.01822700965813928,1.0316545727711537,False,0.05419536472080727,0.03717582191793065,0.017019542802876618,0.4998566924620235
QuantityNorm_ratio1 > mediana,1698,58.55,0.5936395759717314,0.570091931306087,0.6167644717810158,0.5758096875895672,0.01782988838216426,1.0309648982406028,False,0.054399284193397734,0.03717582191793065,0.01722346227546708,0.4866723989681857
