BarIndex,Date,fold,y,prob,side
5605,2026-07-10 09:57:52.973,0,1,0.3820921303198977,1
5609,2026-07-10 09:57:56.350,0,0,0.2845121501239981,-1
5612,2026-07-10 09:57:59.553,0,0,0.34242579784216615,1
5620,2026-07-10 09:58:09.196,0,0,0.35292387298290845,1
5622,2026-07-10 09:58:12.656,0,0,0.3483651299509371,-1
5628,2026-07-10 09:58:13.374,0,0,0.3027142296526093,-1
5630,2026-07-10 09:58:13.764,0,0,0.3366470662207662,1
5637,2026-07-10 09:58:20.723,0,1,0.3402856942679324,1
5651,2026-07-10 09:58:26.364,0,1,0.3849548604618078,-1
5658,2026-07-10 09:58:26.369,0,1,0.5299004324430122,1
5662,2026-07-10 09:58:26.401,0,0,0.3196418295672935,-1
5665,2026-07-10 09:58:26.403,0,1,0.34514141902322426,-1
5669,2026-07-10 09:58:26.404,0,0,0.3675861109364526,1
5672,2026-07-10 09:58:26.412,0,0,0.2949758195051747,-1
5675,2026-07-10 09:58:26.413,0,0,0.3531594782485742,1
5679,2026-07-10 09:58:26.474,0,0,0.32733764566481494,1
5689,2026-07-10 09:58:27.434,0,1,0.28756609640614744,-1
5698,2026-07-10 09:58:52.739,0,1,0.3435649499861527,1
5702,2026-07-10 09:59:05.619,0,0,0.30780939612357955,-1
5707,2026-07-10 09:59:13.110,0,0,0.33786271053045536,1
5710,2026-07-10 10:00:01.521,0,1,0.3102793217877048,1
5716,2026-07-10 10:01:32.732,0,0,0.27334523235587976,-1
5719,2026-07-10 10:02:39.913,0,0,0.3254933727446164,-1
5723,2026-07-10 10:03:23.904,0,0,0.2661157465633885,-1
5725,2026-07-10 10:03:59.261,0,0,0.334050623013793,1
5732,2026-07-10 10:04:43.027,0,0,0.36977870179215283,1
5735,2026-07-10 10:06:06.496,0,0,0.2891541142465286,-1
5737,2026-07-10 10:06:52.419,0,0,0.2898333452313089,1
5739,2026-07-10 10:08:02.943,0,1,0.31368630028260197,-1
5746,2026-07-10 10:09:44.482,0,0,0.3838749114281724,1
5748,2026-07-10 10:10:02.857,0,1,0.3227706670375673,-1
5752,2026-07-10 10:11:14.292,0,0,0.3321082160149555,1
5754,2026-07-10 10:12:01.043,0,0,0.3327992220332444,-1
5756,2026-07-10 10:12:51.299,0,0,0.31520366764849933,1
5761,2026-07-10 10:14:43.403,0,0,0.2734083182197731,1
5763,2026-07-10 10:15:01.414,0,0,0.3114175044385612,-1
5765,2026-07-10 10:15:37.642,0,0,0.319663564970868,1
5767,2026-07-10 10:16:02.471,0,1,0.3217595046068953,-1
5772,2026-07-10 10:17:13.583,0,0,0.4021243194760867,1
5775,2026-07-10 10:18:01.301,0,1,0.3018002453842171,-1
5779,2026-07-10 10:18:45.393,0,0,0.345273542500334,1
5783,2026-07-10 10:20:09.910,0,0,0.32847800393969206,1
5788,2026-07-10 10:21:45.505,0,1,0.34446188163881764,1
5792,2026-07-10 10:22:20.666,0,0,0.30020196407546706,-1
5798,2026-07-10 10:25:05.713,0,0,0.2654428402723775,-1
5807,2026-07-10 10:26:05.970,0,1,0.3154992984814184,-1
5812,2026-07-10 10:27:26.448,0,0,0.4038317533616728,1
5814,2026-07-10 10:28:53.845,0,0,0.3130250161646164,-1
5817,2026-07-10 10:30:14.037,0,1,0.3354253815619064,1
5821,2026-07-10 10:31:50.602,0,0,0.2793612886621212,-1
5823,2026-07-10 10:32:09.890,0,0,0.3420681498972985,1
5827,2026-07-10 10:33:50.592,0,0,0.2963324204121799,-1
5830,2026-07-10 10:34:54.823,0,1,0.29627404261443824,-1
5834,2026-07-10 10:35:18.746,0,0,0.3410129081623766,1
5837,2026-07-10 10:36:08.387,0,0,0.2815534501509611,-1
5845,2026-07-10 10:38:03.507,0,0,0.28651637729032886,-1
5847,2026-07-10 10:38:59.346,0,0,0.34669055442476665,1
5850,2026-07-10 10:40:05.256,0,0,0.3219646277171064,-1
5852,2026-07-10 10:40:27.072,0,0,0.3298535658260237,1
5866,2026-07-10 10:45:16.717,0,0,0.36076841862237724,1
5868,2026-07-10 10:48:52.758,0,0,0.3039887540139968,-1
5878,2026-07-10 10:52:33.606,0,0,0.3044760120782867,-1
5880,2026-07-10 10:55:17.052,0,0,0.2957300218525677,1
5883,2026-07-10 10:56:06.257,0,0,0.26753773110821755,-1
5892,2026-07-10 11:02:27.844,0,1,0.2823908277196929,-1
5898,2026-07-10 11:07:23.548,0,0,0.3530907586310738,1
5901,2026-07-10 11:08:26.944,0,1,0.26983921460976945,-1
5907,2026-07-10 11:10:58.146,0,0,0.3440830866205543,1
5910,2026-07-10 11:12:06.024,0,1,0.29183511313886856,1
5920,2026-07-10 11:18:48.729,0,1,0.2939749198084272,-1
5925,2026-07-10 11:23:21.423,0,1,0.36502136149349035,1
5933,2026-07-10 11:27:12.514,0,0,0.2754773983424774,-1
5935,2026-07-10 11:29:59.168,0,0,0.29643962310945887,1
5952,2026-07-10 11:33:07.629,0,0,0.3404322475843702,1
5962,2026-07-10 11:34:06.472,0,0,0.28960132562618135,-1
5968,2026-07-10 11:36:20.343,0,0,0.27837136861906003,-1
5973,2026-07-10 11:39:38.272,0,1,0.3373824474157768,1
5985,2026-07-10 11:53:10.945,0,1,0.26371163992171,-1
6000,2026-07-10 12:12:47.917,0,0,0.33047484448403197,1
6003,2026-07-10 12:19:04.216,0,1,0.2860375406951324,1
6007,2026-07-10 12:26:38.806,0,1,0.290735768956993,-1
6012,2026-07-10 12:37:15.650,0,0,0.307563081967567,1
6015,2026-07-10 12:43:33.864,0,0,0.2575901790781038,-1
6019,2026-07-10 12:53:53.285,0,0,0.24561272804768025,-1
6031,2026-07-10 13:15:39.990,0,0,0.2856825099205883,-1
6038,2026-07-10 13:29:50.049,0,0,0.3172230137481045,-1
6046,2026-07-10 13:50:36.566,0,0,0.302384132816858,-1
6049,2026-07-10 14:01:21.326,0,0,0.33038332103214174,1
6051,2026-07-10 14:15:31.284,0,0,0.2958423494975566,-1
6054,2026-07-10 14:19:43.196,0,0,0.3213424332052151,1
6057,2026-07-10 14:41:40.786,0,0,0.2746977794747486,-1
6060,2026-07-10 14:58:31.792,0,1,0.3136745616697108,1
6068,2026-07-10 15:06:04.906,0,0,0.30717930288044426,-1
6076,2026-07-10 15:17:31.266,0,1,0.31341120812106377,-1
6084,2026-07-10 15:52:32.965,0,0,0.33778721330151823,1
6092,2026-07-10 16:05:57.848,0,0,0.2593836930435418,-1
6095,2026-07-10 16:25:38.415,0,0,0.29981725778071955,-1
6103,2026-07-10 17:00:35.191,0,0,0.30841485672589747,-1
6111,2026-07-10 17:11:51.660,0,0,0.27712653072078486,-1
6119,2026-07-10 17:50:39.132,0,0,0.26975111374574495,-1
6123,2026-07-10 18:05:46.183,0,0,0.2604977863724383,-1
6125,2026-07-10 18:08:23.788,0,0,0.32095114179721995,1
6129,2026-07-10 18:16:23.004,0,1,0.2826252195410866,-1
6151,2026-07-13 09:03:11.909,0,1,0.47324499115520585,1
6161,2026-07-13 09:03:20.727,0,1,0.3418230226763177,-1
6166,2026-07-13 09:03:22.242,0,1,0.4062120184695249,1
6171,2026-07-13 09:03:26.192,0,0,0.30798045266743507,-1
6173,2026-07-13 09:03:27.818,0,1,0.352615868874673,1
6178,2026-07-13 09:03:37.093,0,1,0.3146139437966173,-1
6183,2026-07-13 09:03:38.764,0,1,0.3736861426923342,1
