duration_regime,n,base_rate,threshold,roc_auc,pr_auc,precision,recall,f1,accuracy,tp,fp,tn,fn,fpr,fnr,n_signals,signal_rate,lift,edge_vs_base
lenta,1104,0.46105072463768115,0.5,0.4837100262501858,0.4540154049945587,0.45535714285714285,0.3005893909626719,0.3621301775147929,0.5117753623188406,153,183,412,356,0.30756302521008405,0.6994106090373281,336,0.30434782608695654,0.9876508560202076,-0.005693581780538304
normal,923,0.4431202600216685,0.5,0.5964842597965998,0.514737428810688,0.5236051502145923,0.2982885085574572,0.38006230529595014,0.5687973997833152,122,111,403,287,0.21595330739299612,0.7017114914425427,233,0.2524377031419285,1.1816321605087254,0.08048489019292382
rapida,221,0.46153846153846156,0.5,0.45996045477014325,0.46533394128807964,0.4594594594594595,0.3333333333333333,0.38636363636363635,0.5113122171945701,34,40,79,68,0.33613445378151263,0.6666666666666666,74,0.334841628959276,0.9954954954954955,-0.002079002079002079
