week,n,base_rate,threshold,roc_auc,pr_auc,precision,recall,f1,accuracy,tp,fp,tn,fn,fpr,fnr,n_signals,signal_rate,lift,edge_vs_base
2026-07-06/2026-07-12,103,0.4174757281553398,0.5,0.5131782945736435,0.4312772664823492,0.36666666666666664,0.2558139534883721,0.30136986301369856,0.5048543689320388,11,19,41,32,0.31666666666666665,0.7441860465116279,30,0.2912621359223301,0.8782945736434108,-0.050809061488673146
2026-07-13/2026-07-19,592,0.47635135135135137,0.5,0.5290265385495311,0.49628788379610544,0.5054945054945055,0.3262411347517731,0.39655172413793105,0.527027027027027,92,90,220,190,0.2903225806451613,0.6737588652482269,182,0.30743243243243246,1.061179954796976,0.029143154143154104
2026-07-20/2026-07-26,591,0.4467005076142132,0.5,0.5001158372718006,0.43583986773161865,0.42483660130718953,0.24621212121212122,0.31175059952038375,0.5143824027072758,65,88,239,199,0.2691131498470948,0.7537878787878788,153,0.25888324873096447,0.9510546642899583,-0.021863906307023673
2026-07-27/2026-08-02,617,0.44408427876823336,0.5,0.6086325040965291,0.5288483444929664,0.5657142857142857,0.3613138686131387,0.4409799554565702,0.593192868719611,99,76,267,175,0.22157434402332363,0.6386861313868614,175,0.28363047001620745,1.2738894681960375,0.12163000694605236
2026-08-03/2026-08-09,345,0.45507246376811594,0.5,0.44030356416858657,0.4300961830851332,0.4077669902912621,0.267515923566879,0.3230769230769231,0.48985507246376814,42,61,127,115,0.324468085106383,0.732484076433121,103,0.2985507246376812,0.8960484818502257,-0.04730547347685382
