vol_regime,n,base_rate,threshold,roc_auc,pr_auc,precision,recall,f1,accuracy,tp,fp,tn,fn,fpr,fnr,n_signals,signal_rate,lift,edge_vs_base
alta,750,0.456,0.5,0.5301714252952643,0.4789399074556532,0.4627659574468085,0.2543859649122807,0.32830188679245287,0.5253333333333333,87,101,307,255,0.24754901960784315,0.7456140350877193,188,0.25066666666666665,1.014837625979843,0.006765957446808468
baixa,733,0.44747612551159616,0.5,0.5415424570912375,0.4965618038655814,0.49065420560747663,0.3201219512195122,0.38745387453874536,0.5470668485675307,105,109,296,223,0.2691358024691358,0.6798780487804879,214,0.29195088676671216,1.0964924777752452,0.04317808009588048
media,765,0.45751633986928103,0.5,0.5158175559380378,0.46230183443738226,0.4854771784232365,0.3342857142857143,0.39593908629441626,0.5333333333333333,117,124,291,233,0.2987951807228916,0.6657142857142857,241,0.3150326797385621,1.0611144042679312,0.02796083855395548
