experiment,model,feature_set,n_features,n_oof,base_rate,roc_auc,auc_ci_lo,auc_ci_hi,pr_auc,precision@0.5,recall@0.5,f1@0.5,n_signals@0.5,edge_vs_base,auc_fold_mean,auc_fold_std,auc_fold_min,auc_folds_above_0.5,n_folds
EXP011_STRUCT+VOL_CATBOOST,catboost,STRUCT+VOL,28,2248,0.45373665480427045,0.5346522322283962,0.5100376456652129,0.5585899272975855,0.48190416790578383,0.5061295971978984,0.2833333333333333,0.3632935260842237,571,0.05239294239362796,0.5364781032945262,0.052953432794655635,0.4492898261448118,5,6
EXP010_STRUCT+AGG_CATBOOST,catboost,STRUCT+AGG,41,2248,0.45373665480427045,0.5330307530178195,0.5092486343004291,0.5545205123539869,0.46582168791010475,0.4677914110429448,0.29901960784313725,0.36483253588516745,652,0.01405475623867436,0.5382652458313238,0.051497117485513624,0.4889930284358819,5,6
EXP101_EXTENDED_RF,random_forest,EXTENDED,97,2248,0.45373665480427045,0.5295123586894042,0.5055870050095709,0.553534965463939,0.4798669740891032,0.4657762938230384,0.2735294117647059,0.3446571957998765,599,0.012039639018767978,0.5275876512419971,0.04898912031581753,0.4652723538430386,4,6
EXP014_BASE_CATBOOST,catboost,BASE,42,2248,0.45373665480427045,0.5285523248387303,0.5051115580061277,0.5517470894678986,0.47436953277018556,0.48055987558320373,0.3029411764705882,0.3716175586289837,643,0.026823220778933288,0.5332253703207138,0.06470093158942634,0.44348983193034225,4,6
EXP100_EXTENDED_TREE,tree,EXTENDED,97,2248,0.45373665480427045,0.5277208277447787,0.5025260687700552,0.5510454724353324,0.46913706305212444,0.4825291181364393,0.28431372549019607,0.35780382479950645,601,0.02879246333216884,0.5278673688051343,0.045524065587268576,0.4900962250185048,5,6
EXP004_STRUCT+VOL_LOGISTIC,logistic,STRUCT+VOL,28,2248,0.45373665480427045,0.5214832024014818,0.4971932620773134,0.545769923875607,0.46721056012293016,0.48366013071895425,0.21764705882352942,0.3002028397565923,459,0.029923475914683806,0.519920706762757,0.03494601626093781,0.4663508512213176,5,6
EXP006_STRUCT+CANDLE_LOGISTIC,logistic,STRUCT+CANDLE,18,2248,0.45373665480427045,0.5176750015967299,0.49480605226930474,0.5402425702744957,0.4677409449224402,0.474120082815735,0.22450980392156863,0.3047238855622089,483,0.020383428011464533,0.5160883359717466,0.026293885326245332,0.4874907475943745,4,6
EXP009_STRUCT_CATBOOST,catboost,STRUCT,5,2248,0.45373665480427045,0.5155182186881266,0.4912620858130113,0.5394317627061788,0.4676925850593892,0.5113636363636364,0.08823529411764706,0.1505016722408027,176,0.05762698155936591,0.5104680671476375,0.023050579274649433,0.4832568467801628,3,6
EXP008_EXTENDED_LOGISTIC,logistic,EXTENDED,97,2248,0.45373665480427045,0.5126532860701284,0.4890126004096671,0.5354528991143874,0.464116014507708,0.4459279038718291,0.32745098039215687,0.3776144714527982,749,-0.007808750932441322,0.5110844342836084,0.033126829105922594,0.46745600414078675,3,6
EXP015_EXTENDED_CATBOOST,catboost,EXTENDED,97,2248,0.45373665480427045,0.5109415916203616,0.48799602295109956,0.5361554673937337,0.46488077717592324,0.4685908319185059,0.27058823529411763,0.3430702299564947,589,0.014854177114235478,0.5134393127933709,0.0431588746015999,0.42847638057218895,5,6
EXP013_STRUCT+CANDLE_CATBOOST,catboost,STRUCT+CANDLE,18,2248,0.45373665480427045,0.5089923835983905,0.48510148619716215,0.5319767291151096,0.46328062943028003,0.4691780821917808,0.26862745098039215,0.341645885286783,584,0.015441427387510365,0.4982562565447975,0.01988985258020472,0.4748459103781442,3,6
EXP007_BASE_LOGISTIC,logistic,BASE,42,2248,0.45373665480427045,0.5078567094590278,0.4833617669746966,0.5331357541472919,0.47022551689229963,0.46003552397868563,0.25392156862745097,0.32722678458622867,563,0.006298869174415189,0.5080958302406259,0.029921037895386627,0.46206647398843936,4,6
EXP002_STRUCT_LOGISTIC,logistic,STRUCT,5,2248,0.45373665480427045,0.5076487353899215,0.4823908956300055,0.5316951443584744,0.45949023496482555,,0.0,,0,,0.5104680671476375,0.023050579274649433,0.4832568467801628,3,6
EXP001_STRUCT_LOGISTIC,logistic,STRUCT,5,2248,0.45373665480427045,0.5076487353899215,0.4823908956300055,0.5316951443584744,0.45949023496482555,,0.0,,0,,0.5104680671476375,0.023050579274649433,0.4832568467801628,3,6
EXP000_ALWAYS_SIGNAL,always_signal,STRUCT,5,2248,0.45373665480427045,0.5,0.5,0.5,0.45373665480427045,0.45373665480427045,1.0,0.624235006119951,2248,0.0,0.5,0.0,0.5,0,6
EXP003_STRUCT+AGG_LOGISTIC,logistic,STRUCT+AGG,41,2248,0.45373665480427045,0.49883917736475697,0.47446976276745617,0.5245130508205921,0.4541168733153232,0.44703770197486536,0.24411764705882352,0.3157894736842105,557,-0.00669895282940508,0.49801640612899495,0.040303807649021674,0.4408070253445976,3,6
EXP005_STRUCT+TIME_LOGISTIC,logistic,STRUCT+TIME,18,2248,0.45373665480427045,0.4964293127674523,0.471402897634712,0.5195943571895341,0.45918740193265806,0.4740740740740741,0.12549019607843137,0.19844961240310077,270,0.020337419269803647,0.49593001831371186,0.03691360126741762,0.4534122871946706,3,6
EXP012_STRUCT+TIME_CATBOOST,catboost,STRUCT+TIME,18,2248,0.45373665480427045,0.49176526473781695,0.46616296725390244,0.5141399893760263,0.4510978296128608,0.447463768115942,0.24215686274509804,0.3142493638676845,552,-0.006272886688328427,0.4932917133086578,0.03547399624208494,0.4530098856055938,2,6
