hour,n,base_rate,threshold,roc_auc,pr_auc,precision,recall,f1,accuracy,tp,fp,tn,fn,fpr,fnr,n_signals,signal_rate,lift,edge_vs_base
9,803,0.43462017434620176,0.5,0.5738989939790212,0.47075146104381177,0.4697674418604651,0.28939828080229224,0.3581560283687943,0.5491905354919053,101,114,340,248,0.2511013215859031,0.7106017191977078,215,0.26774595267745954,1.0808689278336776,0.035147267514263336
10,612,0.46895424836601307,0.5,0.47044224068614315,0.4713606761546436,0.5,0.23344947735191637,0.3182897862232779,0.5310457516339869,67,67,258,220,0.20615384615384616,0.7665505226480837,134,0.21895424836601307,1.0662020905923344,0.03104575163398693
11,252,0.39285714285714285,0.5,0.4688717237736845,0.384034503753271,0.3584905660377358,0.1919191919191919,0.25,0.5476190476190477,19,34,119,80,0.2222222222222222,0.8080808080808081,53,0.21031746031746032,0.9125214408233275,-0.034366576819407024
12,161,0.5093167701863354,0.5,0.5352732324791604,0.555689540914147,0.5625,0.32926829268292684,0.41538461538461535,0.5279503105590062,27,21,58,55,0.26582278481012656,0.6707317073170732,48,0.2981366459627329,1.1044207317073171,0.053183229813664634
13,86,0.5348837209302325,0.5,0.5532608695652175,0.587327670217284,0.5428571428571428,0.41304347826086957,0.46913580246913583,0.5,19,16,24,27,0.4,0.5869565217391305,35,0.4069767441860465,1.0149068322981367,0.007973421926910307
14,98,0.47959183673469385,0.5,0.4664163537755528,0.4820117560813291,0.4523809523809524,0.40425531914893614,0.4269662921348315,0.47959183673469385,19,23,28,28,0.45098039215686275,0.5957446808510638,42,0.42857142857142855,0.9432624113475178,-0.02721088435374147
15,93,0.5053763440860215,0.5,0.5753931544865866,0.5790348026355203,0.5769230769230769,0.6382978723404256,0.6060606060606061,0.5806451612903226,30,22,24,17,0.4782608695652174,0.3617021276595745,52,0.5591397849462365,1.141571194762684,0.07154673283705537
16,67,0.44776119402985076,0.5,0.48918918918918913,0.471780878033104,0.42857142857142855,0.5,0.4615384615384615,0.47761194029850745,15,20,17,15,0.5405405405405406,0.5,35,0.5223880597014925,0.9571428571428571,-0.019189765458422214
17,50,0.42,0.5,0.46962233169129725,0.39428508915576815,0.4,0.38095238095238093,0.3902439024390244,0.5,8,12,17,13,0.41379310344827586,0.6190476190476191,20,0.4,0.9523809523809524,-0.019999999999999962
