target,feature_set,n_lags,n_features,oof_auc,pr_auc,auc_fold_mean,auc_fold_std,auc_fold_min,folds_above_05,n_folds,stability_score
p2c2,BASE,3,28,0.5103875263460433,0.46587253615452073,0.5322424776256145,0.049921000878700876,0.46961150163441234,4,6,0.5072819771862641
p2c2,EXTENDED,3,83,0.5249465095484448,0.4706778461907854,0.5070792602931529,0.024058552051527207,0.4844658509068819,3,6,0.4950499842673893
p2c2,BASE,5,42,0.5285523248387303,0.47436953277018556,0.5332253703207138,0.06470093158942634,0.44348983193034225,4,6,0.5008749045260007
p2c2,EXTENDED,5,97,0.5109415916203616,0.46488077717592324,0.5134393127933709,0.0431588746015999,0.42847638057218895,5,6,0.4918598754925709
p2c2,BASE,8,63,0.5014626045858083,0.46368844928519126,0.48999911523682743,0.04481062731830246,0.44071315669622524,3,6,0.4675938015776762
p2c2,EXTENDED,8,118,0.5332898224436354,0.47902404287868866,0.5434890473679892,0.049094763220849255,0.5090787939363652,6,6,0.5189416657575646
p2c2,BASE,10,77,0.5180159034297759,0.468621249730802,0.5109414417120567,0.056436091294369446,0.4490150134513582,4,6,0.48272339606487197
p2c2,EXTENDED,10,132,0.497318292137702,0.45113233904392924,0.49270891456024407,0.02967029502393117,0.44476264861581183,2,6,0.4778737670482785
