feature,imp_mean,imp_std,rank_mean,rank_std,rank_worst,times_in_topk,n_folds,topk_fraction,imp_cv
QuantityNorm_lag2,0.045685669468799595,0.03526985712444061,8.833333333333334,6.3377177806105145,19.0,5,6,0.8333333333333334,0.7720113885718076
AggBuyNorm_lag4,0.03715110706675856,0.024702916226881345,10.833333333333334,8.70440501508671,26.0,5,6,0.8333333333333334,0.6649308237972968
AggBalanceChange,0.03273947752188662,0.023785093299111066,13.666666666666666,21.978777642686744,58.0,5,6,0.8333333333333334,0.7264958117676291
BodyNormMean5,0.034880531243691296,0.022571568572580792,14.166666666666666,15.10518674716293,38.0,4,6,0.6666666666666666,0.6471108027250365
TradesNorm_lag2,0.027669252402670014,0.01987766827550779,14.333333333333334,6.831300510639732,22.0,4,6,0.6666666666666666,0.7184027955012491
RangeRatio20,0.025941601222786898,0.011887000504993275,15.666666666666666,14.665151436881471,43.0,4,6,0.6666666666666666,0.4582215416429972
AggBalanceNormMean5,0.038320288397926804,0.03501839740036052,22.833333333333332,28.407158722171893,74.0,3,6,0.5,0.9138343907206888
AggBalanceNorm_lag1,0.035291795578497355,0.045845275772732876,21.333333333333332,18.853823661704983,47.0,3,6,0.5,1.2990349462600186
AggShareOfQuantity,0.0333823583315866,0.0389864684705082,18.416666666666668,22.59738185424733,62.5,3,6,0.5,1.167876399961202
DurationResidual_lag5,0.025488534247814703,0.021004378223207394,23.5,19.86705816169067,60.0,3,6,0.5,0.8240716401731981
AggTotalNorm,0.02423866984232978,0.019166642085919356,18.333333333333332,12.878923350446135,34.0,3,6,0.5,0.7907464481589346
AggBalanceNorm_lag4,0.02029304008358813,0.012908187643113076,22.0,20.9093280618962,58.0,3,6,0.5,0.6360893976429136
SecondsSinceSessionOpen,0.01854912765754255,0.01627282849607115,26.25,27.308881339227355,62.5,3,6,0.5,0.8772826839355004
AggBalanceNormMean3,0.016498233706678588,0.013489527891228823,26.25,27.043945718034564,62.5,3,6,0.5,0.8176346711447164
DurationResidualMean5,0.01944532436320077,0.026460613954329474,54.75,37.0050672205848,89.0,2,6,0.3333333333333333,1.360769995917618
AggTotalNorm_lag4,0.015962556439482946,0.012157999592975527,38.833333333333336,27.665261008468125,71.0,2,6,0.3333333333333333,0.76165742242283
AggBalanceNorm,0.014330921372828992,0.013527782409853036,30.75,24.13659048001602,62.5,2,6,0.3333333333333333,0.9439576184892979
AggTotalPerQuantity,0.014110698226233025,0.011150910903522288,32.666666666666664,30.883112969172437,80.5,2,6,0.3333333333333333,0.7902451547572442
AggBalanceNorm_lag2,0.013544697026154996,0.009320462592644449,32.333333333333336,18.532853710820326,58.0,2,6,0.3333333333333333,0.6881263253542332
AggBuyNorm_lag5,0.010887103468420338,0.009909001557631553,35.75,23.1424933833846,62.5,2,6,0.3333333333333333,0.9101595834350326
AggSellNorm_lag5,0.00927139272280833,0.009904600189104456,39.916666666666664,25.796156044392866,62.5,2,6,0.3333333333333333,1.068296909129778
DurationResidualMean3,0.008387119687070788,0.010227918776064647,46.166666666666664,27.598309126949548,80.5,2,6,0.3333333333333333,1.2194792917801751
AggTotalNorm_lag2,0.022784725433019837,0.032493108706701246,34.666666666666664,22.92305971432842,58.0,1,6,0.16666666666666666,1.4260917386176586
DurationResidual_lag3,0.01909659019561828,0.02910079905907389,44.666666666666664,27.354463377421,72.0,1,6,0.16666666666666666,1.5238740927556316
AggTotalNormMean5,0.01593997113266692,0.017187266435267492,43.75,26.65286100965523,80.5,1,6,0.16666666666666666,1.0782495333410236
DurationResidual_lag2,0.014643009456458076,0.008650589469319727,29.833333333333332,16.845375230806425,58.0,1,6,0.16666666666666666,0.5907658186688199
DurationResidual_lag4,0.013239755681442278,0.014632148015090555,40.833333333333336,21.590893141939883,69.0,1,6,0.16666666666666666,1.1051675247753965
RangeMean5,0.011794339529688551,0.019527495450464182,54.666666666666664,29.26716020844296,89.0,1,6,0.16666666666666666,1.655666720574716
AggSellNorm_lag4,0.01170570414275767,0.010244182711160336,35.25,23.254569443444872,62.5,1,6,0.16666666666666666,0.8751445095678778
AggBuyNorm,0.011660962590945262,0.01007392223814169,44.333333333333336,27.65260686927485,84.0,1,6,0.16666666666666666,0.8639014283404091
SellShare,0.011474504825696662,0.01228652542084906,43.5,23.458473948660853,76.0,1,6,0.16666666666666666,1.0707673758029115
AggBalanceNorm_lag3,0.01140849854586288,0.011292637302195117,41.083333333333336,26.0353925775408,80.5,1,6,0.16666666666666666,0.9898443039456951
AggTotalResidual20,0.010974199992991082,0.01437307750300062,45.416666666666664,28.341518425565464,84.0,1,6,0.16666666666666666,1.3097152878734037
AggImbalanceChange,0.010674993705242336,0.008905063501960388,35.916666666666664,20.876821277835056,62.5,1,6,0.16666666666666666,0.8341984780363139
QuantityPerTradeRatio20,0.010570110827732791,0.009579924900431061,38.75,22.851148767622163,62.5,1,6,0.16666666666666666,0.9063220865476851
AggSellNorm_lag2,0.009937876721627248,0.013289136076519235,52.166666666666664,25.23621736050525,80.5,1,6,0.16666666666666666,1.337220862037746
QuantityNorm_lag5,0.009853411138432496,0.015052005490212298,50.25,25.277954822334816,69.0,1,6,0.16666666666666666,1.5275933662712067
AggBalanceRunSum,0.009409564557287099,0.009098332661646207,42.583333333333336,22.80880677866921,65.0,1,6,0.16666666666666666,0.9669238790226629
BuyShare,0.00933472781046504,0.012121340325396085,48.916666666666664,23.825231723252276,68.0,1,6,0.16666666666666666,1.298521025091595
QuantityNorm_lag3,0.009002410363734316,0.012114708603497485,52.916666666666664,30.887564919667376,89.0,1,6,0.16666666666666666,1.345718325872022
TradesRatio20,0.0070978800013652595,0.008851685767305438,52.416666666666664,19.95599325181953,67.0,1,6,0.16666666666666666,1.2470886751541077
AggBuyNorm_lag2,0.006720237772325944,0.007837270778318669,51.75,24.939426617306182,75.0,1,6,0.16666666666666666,1.1662192684003958
