ma_period,oof_auc,auc_fold_mean,auc_fold_std,auc_fold_min,folds_above_05,n_folds,stability_score
10,0.5436649741329757,0.5408962471441093,0.051871756833059356,0.497848731884058,5,6,0.5149603687275797
20,0.5285523248387303,0.5332253703207138,0.06470093158942634,0.44348983193034225,4,6,0.5008749045260007
40,0.5142699750910136,0.5147774263762345,0.043167016754494754,0.44360554253811224,5,6,0.4931939179989871
