feature,imp_mean,imp_std,rank_mean,rank_std,rank_worst,times_in_topk,n_folds,topk_fraction,imp_cv
AggTotalPerQuantity,0.11435621855968627,0.08529765112541797,3.1666666666666665,0.9831920802501749,5.0,6,6,1.0,0.7458942959092192
LogDuration,0.13601754855117507,0.13375574342605398,7.833333333333333,11.513759884011247,30.0,5,6,0.8333333333333334,0.9833712256307126
DurationResidual_lag3,0.045832171168178025,0.06215197872834915,25.083333333333332,26.359849519044424,65.5,4,6,0.6666666666666666,1.3560775574058384
QuantityNorm_lag2,0.09856346511418561,0.17832017528693628,25.083333333333332,28.23900966157749,68.5,3,6,0.5,1.8091914187508795
AggTotalNormMean5,0.06227791953093715,0.08203793812422987,19.833333333333332,20.292034562031148,51.0,3,6,0.5,1.3172877119550652
TradesNorm_lag3,0.021015205227651688,0.02568786474612688,30.416666666666668,26.706584706148156,61.5,3,6,0.5,1.2223466041781468
TradesNorm_lag2,0.025189900095209574,0.03562278913788603,33.5,28.1407178302189,71.0,2,6,0.3333333333333333,1.4141695283920759
AggBalanceNorm_lag3,0.01984043482146069,0.03833071244444896,40.333333333333336,29.832309107185562,68.5,2,6,0.3333333333333333,1.931949213279741
AggBalanceNorm,0.015659658819441796,0.01741029321951181,29.833333333333332,17.702165592567106,51.0,2,6,0.3333333333333333,1.111792627173752
AggBalanceNormMean3Change,0.012832458451357928,0.018218648496474813,30.5,19.572940504686567,51.0,2,6,0.3333333333333333,1.4197317346113767
AggTotalNorm_lag3,0.01089083729974701,0.014649230179183207,41.75,24.028628758212566,64.0,2,6,0.3333333333333333,1.3450967796134006
AggTotalRatio20,0.010087132359929406,0.01413311777585829,43.083333333333336,24.755639088229305,70.0,2,6,0.3333333333333333,1.4011036309983742
AggBuyNorm_lag2,0.008809915456390925,0.013652343362431636,40.666666666666664,26.551208384302715,65.5,2,6,0.3333333333333333,1.5496565693519677
AggSellNorm_lag5,0.028966674419880226,0.04911701673106711,34.916666666666664,24.650388773134324,68.5,1,6,0.16666666666666666,1.6956387888751712
SecondsSinceSessionOpen,0.018962628225004094,0.03253189247691263,34.916666666666664,23.122319664485797,61.5,1,6,0.16666666666666666,1.7155793010810665
AggTotalNorm_lag5,0.015379315386773043,0.02796168133907313,46.416666666666664,28.541928222645833,81.0,1,6,0.16666666666666666,1.8181356345108528
DurationResidualPct,0.012927724107357147,0.015315093248092024,33.833333333333336,15.184421841699033,51.0,1,6,0.16666666666666666,1.184670489632141
SellShare,0.012733837876730226,0.02903680360016681,52.0,25.68462575160479,73.0,1,6,0.16666666666666666,2.2802868923931072
AggSellNorm_lag2,0.012706189379653931,0.020892571059396403,37.833333333333336,20.113842662869438,58.0,1,6,0.16666666666666666,1.6442829895838873
DurationResidual,0.012353800500997053,0.020982909930030463,44.583333333333336,21.79086199916531,65.5,1,6,0.16666666666666666,1.6984983631828092
DurationResidualMean5,0.01224407957834075,0.022607126322886074,43.833333333333336,24.921209173446353,68.5,1,6,0.16666666666666666,1.84637205093612
AggImbalanceChange,0.01108843450448275,0.01245634690761082,33.916666666666664,23.867167126968937,61.5,1,6,0.16666666666666666,1.123363888975947
DurationRatio20,0.010985365562719554,0.01263668159307162,36.25,20.65853334581136,61.5,1,6,0.16666666666666666,1.1503196248612835
AggBuyNorm,0.010820775650420075,0.0247564213767435,53.333333333333336,25.4473312287687,78.0,1,6,0.16666666666666666,2.28786014760249
TradesNorm,0.010202277500514731,0.01324761457210917,39.083333333333336,18.99583287636177,61.5,1,6,0.16666666666666666,1.298495808552629
AggBalanceChange,0.00990759024583268,0.01131187350937801,36.25,23.46859603811016,65.5,1,6,0.16666666666666666,1.141738124882183
QuantityPerTrade,0.009729927312158519,0.013612210059678647,41.083333333333336,20.62138857270932,61.5,1,6,0.16666666666666666,1.3990042908818885
QuantityNorm,0.009191612118814108,0.011972581906495344,38.666666666666664,14.292189008919056,51.0,1,6,0.16666666666666666,1.302555172230226
QuantityResidual20,0.0088662081327888,0.015402886901978685,43.5,22.631835983852483,65.5,1,6,0.16666666666666666,1.737257536851193
AggTotalNorm_lag4,0.008534093749430082,0.011341182259880187,42.416666666666664,17.721220800686012,61.5,1,6,0.16666666666666666,1.3289263737743173
AggTotalPerTrade,0.007923780631898475,0.00959949236087468,39.083333333333336,19.607184057550608,65.5,1,6,0.16666666666666666,1.2114788138165202
Range,0.007607671935225278,0.01190589301934806,48.083333333333336,28.210665831679098,91.0,1,6,0.16666666666666666,1.5649850730577677
QuantityRatio20,0.007440329692632738,0.01365055777679969,46.5,20.312557692225763,65.5,1,6,0.16666666666666666,1.8346710886099835
AggTotalNorm_lag1,0.007178751355977703,0.015898366711765404,54.833333333333336,23.295206946208197,80.0,1,6,0.16666666666666666,2.2146423414605287
AggBalanceNorm_lag1,0.007008750817681951,0.011251824115647333,47.083333333333336,19.910842942142523,69.0,1,6,0.16666666666666666,1.6053965119234643
AggBuyNorm_lag3,0.006833241544525134,0.011803985766527919,47.833333333333336,19.886343722933752,68.5,1,6,0.16666666666666666,1.7274357549946993
AggPerBrickProgress,0.006272655553374379,0.014201928906129535,54.166666666666664,25.928105728468992,85.0,1,6,0.16666666666666666,2.2641015093662524
AggTotalResidual20,0.005901179868942185,0.0125527592013831,52.5,22.860446189871272,76.0,1,6,0.16666666666666666,2.1271609203861197
AggBalanceNorm_lag5,0.005393450480603669,0.00939370691834044,44.833333333333336,22.650974960620715,68.5,1,6,0.16666666666666666,1.7416878030349576
HourOfDay,0.003841910735996265,0.009410720940511421,50.583333333333336,23.02480546425239,68.5,1,6,0.16666666666666666,2.4494897427831783
DurationResidual_lag5,0.003577791980139541,0.008763764757163723,51.416666666666664,21.098380664559702,68.5,1,6,0.16666666666666666,2.4494897427831783
AggBuyNorm_lag5,0.0034983011040239623,0.008569052671473764,51.583333333333336,20.715734760482587,68.5,1,6,0.16666666666666666,2.4494897427831783
AggShareOfQuantity,0.003424426490721374,0.008388097563937,51.75,20.334084685571664,68.5,1,6,0.16666666666666666,2.4494897427831783
AggBalanceNormMean3,0.009232200020104052,0.010665264156587608,39.25,20.59065321936145,68.5,0,6,0.0,1.1552245546416795
RangeRatio20,0.008053356851445767,0.008845927577292328,39.416666666666664,16.98945751537308,61.5,0,6,0.0,1.0984149517358437
TradesNorm_lag5,0.007618784799782882,0.00839216738226432,39.083333333333336,17.344787881858537,61.5,0,6,0.0,1.1015099655398426
AggSellNorm_lag4,0.007156794416585975,0.011544095769242091,45.5,22.181073012818835,68.5,0,6,0.0,1.6130260417273523
AggBalanceNorm_lag4,0.006686331057238503,0.0073638938233017105,41.416666666666664,14.90777202222608,61.5,0,6,0.0,1.101335509753094
AggTotalNorm_lag2,0.0060809034173802115,0.010719260889210231,48.833333333333336,17.851237118661178,68.5,0,6,0.0,1.762774402660769
TradesNorm_lag1,0.006036253315048756,0.007827546465120433,46.583333333333336,15.193474476454247,61.5,0,6,0.0,1.2967557947917578
DurationResidualMean3,0.005054290650644017,0.008485589308024205,48.5,17.175564037317667,65.5,0,6,0.0,1.678888274251298
AggBalanceNorm_lag2,0.005038289601929828,0.005525184416276687,45.416666666666664,12.01006522324782,61.5,0,6,0.0,1.0966389097919984
TradesResidual20,0.004950515992649355,0.007844821636212222,47.666666666666664,16.797817318528818,65.5,0,6,0.0,1.5846472666405687
AggBuyNorm_lag1,0.0044124323068323,0.008301152709985882,51.833333333333336,18.79538950558532,66.0,0,6,0.0,1.8813099290230941
AggBalanceNormMean5,0.00403985765421164,0.007024326207115909,51.666666666666664,16.117278513032733,65.5,0,6,0.0,1.738755869230416
TradesRatio20,0.0034294644014278134,0.00559507316097836,52.333333333333336,11.617515511789371,65.5,0,6,0.0,1.6314714212076158
DirVsAggDivergence,0.0032209613794034002,0.00621447052245577,55.333333333333336,17.37143248746823,77.0,0,6,0.0,1.9293837430633336
AggSellNorm_lag1,0.003188072255842636,0.007809150289938164,52.25,19.195702644081567,68.5,0,6,0.0,2.449489742783178
AggTotalNormMean3,0.003126813842878922,0.007659098435724372,52.416666666666664,18.81865209484108,68.5,0,6,0.0,2.4494897427831783
QuantityNorm_lag1,0.0029068690378797244,0.00712034589190039,52.75,18.06861920568365,68.5,0,6,0.0,2.449489742783178
AggTotalNorm,0.0026487432905953905,0.004675912350769499,55.166666666666664,19.19027531503044,74.0,0,6,0.0,1.765332400226085
AggBalanceAcceleration,0.0022792396368770183,0.005582974111875112,54.75,13.728619741255855,68.5,0,6,0.0,2.449489742783178
AggSellNorm_lag3,0.002247141573979062,0.005504350236043359,54.916666666666664,13.384381445052536,68.5,0,6,0.0,2.4494897427831783
