feature,lag,mean_pos,mean_neg,cohens_d,auc,abs_auc_gap
AggTotalResidual20,0,8362.46933860532,9189.963530585106,-0.04079492366899162,0.47997766798721264,0.02002233201278736
CloseChange2Bricks,2,-0.03089080459770115,0.09833887043189368,-0.054600887760564855,0.48040559246954595,0.01959440753045405
CloseChange3Bricks,1,-0.039511494252873564,0.1282392026578073,-0.05002870718942384,0.48040559246954595,0.01959440753045405
DurationRatio20,2,0.844825527427563,0.8449008228136154,-5.781135572752738e-05,0.4807441359346559,0.019255864065344075
TradesResidual20,0,3342.5026599568655,3663.5650930851066,-0.042005171066918666,0.481268020481209,0.01873197951879102
BuyShare,2,0.48918662791769657,0.5060791914563825,-0.06775895347033985,0.481533060297094,0.018466939702906027
QuantityResidual20,0,12070.16121495327,13096.058776595744,-0.03636536396255345,0.48153569871667407,0.018464301283325935
AggPerBrickProgress,0,571.6350143678161,589.360611295681,-0.03350769361706272,0.4818163592622294,0.018183640737770623
AggBuyNorm,0,110.85507866445715,113.92891873866196,-0.030918809005569193,0.48223880169549777,0.017761198304502235
AggTotalPerQuantity,2,0.7829096047138332,0.778320344445695,0.036425016748827775,0.5176430576240119,0.01764305762401186
AggShareOfQuantity,2,0.7829096047138332,0.778320344445695,0.036425016748827775,0.5176430576240119,0.01764305762401186
TradesNorm,0,88.2893210802063,90.45357415588386,-0.031019916657189662,0.4825934624050101,0.01740653759498989
AggTotalNorm,0,221.9490950455417,228.13460189586604,-0.032058093877822276,0.48262305724214305,0.01737694275785695
AggImbalance,2,-0.010850882095641298,0.01946735301243284,-0.061928574477663006,0.48306578645893,0.016934213541069998
DurationResidualPct,2,-0.12289553655518325,-0.12853667718638453,0.004359511584879601,0.48316088800342627,0.01683911199657373
AggImbalanceChange,2,-0.0071700429574964065,0.015103302786281232,-0.05554386207295264,0.48346412342001754,0.016535876579982456
DeltaTLog,1,2.337601977947604,2.408356520070811,-0.04219231546260179,0.4834844102035361,0.016515589796463892
LogDurationResidual20,2,-0.4445576635006769,-0.3176563556403292,-0.06432720749537756,0.483601362099821,0.01639863790017898
AggTotalPerTrade,2,2.48471763617447,2.455863427236186,0.0527521472970244,0.5163611715736816,0.016361171573681554
RangeRatio20,1,0.8609159994875822,0.8431904307469184,0.05892400822932161,0.5161309596647139,0.016130959664713895
AggBalanceNormMean3Change,1,-0.488378950911244,0.9943824445816747,-0.056051587131384244,0.48422308779165235,0.01577691220834765
AggSellNorm,0,111.09401638108453,114.20568315720408,-0.031706009102552855,0.4843018482453126,0.015698151754687417
LogDuration,2,4.348888152047901,4.503306758207723,-0.05878108021994622,0.4847462481383893,0.01525375186161071
SellShare,2,0.500037510013338,0.4866118384439497,0.053860348693015175,0.515047065337763,0.01504706533776301
OpenLocation,2,0.5033795136198619,0.48881063266841973,0.04831778853655766,0.514853505556192,0.014853505556192026
QuantityNorm,0,310.12791066764333,317.1824143418148,-0.026283763780175908,0.4852128441593157,0.014787155840684296
QuantityRatio20,2,0.8868601861534848,0.8939613665447004,-0.008465401324798666,0.4857588008779846,0.01424119912201538
RangeMean5,2,90.83548850574712,91.50997340425532,-0.04593312629920241,0.4857790623471509,0.014220937652849097
BodyNormMean5,2,0.630839671898696,0.6261042519806274,0.04476614707471122,0.5135997493274639,0.013599749327463884
TradesRatio20,2,0.8993918591100452,0.9016342427398569,-0.0027012089542986727,0.4866512209951512,0.01334877900484882
WickAsym,1,0.00725654724727937,-0.010693811416963283,0.04966718432982001,0.5133129033489899,0.013312903348989935
UpperWickNorm,1,0.14958270019340983,0.13543200801657831,0.066955224256307,0.5130611085653187,0.013061108565318724
Range,1,79.27083333333333,77.76744186046511,0.052874736210958784,0.5129565719631879,0.01295657196318789
WickTotalNorm,1,0.29190885313954024,0.2815578274501199,0.04699177484721887,0.5129565719631879,0.01295657196318789
BodyNorm,1,0.7080911468604597,0.7184421725498801,-0.04699177484721913,0.48704342803681216,0.012956571963187835
BuyShare,1,0.49184744188998847,0.503688653772978,-0.047049357575331005,0.4870591801275442,0.012940819872455822
UpperWickNorm,0,0.2952840757275285,0.30765864435586054,-0.04124266106537622,0.4875482109443617,0.012451789055638318
AggBalanceChange,2,-1.9405209189608037,-0.6059052739398033,-0.030214010086925164,0.4878415339672357,0.012158466032764326
AggShareOfQuantity,0,0.7476746618284051,0.7512231322686234,-0.03419735729348231,0.4879575266353534,0.012042473364646589
AggTotalPerQuantity,0,0.7476746618284051,0.7512231322686234,-0.03419735729348231,0.4879575266353534,0.012042473364646589
QuantityRatio20,0,1.517743163426302,1.5164266011359622,0.0011526719067997807,0.48813277222876544,0.011867227771234556
AggBuyNorm,2,97.45911414522263,97.41098790644337,0.0005242923449559712,0.4882453602932753,0.01175463970672469
DurationResidualPct,1,-0.11342830376692202,-0.2256981714673469,0.08868295994649573,0.5117209607354268,0.011720960735426833
TradesNorm,2,76.97454183977176,77.28052297928845,-0.004867270017845784,0.48835347691602704,0.01164652308397296
AggBalanceChange,1,1.033493879187947,0.6198355636713984,0.009245183303649651,0.5114400752281667,0.011440075228166702
BodyNorm,0,0.4036631162235925,0.4018941519814671,0.03928603269862109,0.5110331462175889,0.011033146217588885
WickTotalNorm,0,0.5963368837764075,0.598105848018533,-0.03928603269862231,0.4889668537824111,0.011033146217588885
Range,0,125.45258620689656,125.9734219269103,-0.03677901265420762,0.4889668537824111,0.011033146217588885
LogDurationResidual20,0,0.9430609294341403,0.9690064021659873,-0.02083925561171839,0.48921208911390857,0.010787910886091434
LogDuration,0,5.761773438719347,5.805668294448538,-0.018975807020120642,0.48926924619085804,0.010730753809141957
LowerWickNorm,2,0.14396695857975042,0.14859649015094645,-0.021791186839278713,0.4893019437125291,0.010698056287470892
QuantityNorm,2,265.11167560717826,264.14194710996304,0.003954475609619755,0.4895048115477145,0.010495188452285475
AggTotalRatio20,2,0.9145960551000674,0.9113613577981746,0.00383557183341834,0.4895464479098154,0.010453552090184615
DurationRatio20,0,1.6320028509349334,1.629694010994572,0.0013221233136192013,0.48977684239105496,0.010223157608945044
AggImbalance,1,-0.006247644955655171,0.011364018509410913,-0.03547065675202963,0.4898067266200787,0.01019327337992132
DurationResidualMean3,1,-880.9463549160675,-1039.5938275709223,0.015738487171687632,0.5098303803765498,0.009830380376549819
WickAsym,0,-0.005768732321350408,0.01721144069318819,-0.038363251048237616,0.49020458624508345,0.009795413754916549
